array,MCMC,imputed,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
HumanOmniExpress-12v1_J-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,5,TRUE,355,72,149,576,498,0.490923441,0.867797948
humanomniexpressexome-8v1-0_a-b37,5,TRUE,355,72,149,576,498,0.490923441,0.870165746
HumanOmniExpressExome-8-v1-0-B-b37,5,TRUE,355,72,149,576,498,0.490923441,0.86937648
HumanOmniExpressExome-8v1-2_A-b37,5,TRUE,359,68,143,570,473,0.490923441,0.859116022
HumanOmniExpressExome-8-v1-2-B-b37,5,TRUE,359,68,143,570,473,0.490923441,0.860694554
OmniExpressExome-8v1-1_A-b37,5,TRUE,358,69,142,569,477,0.503157064,0.872138911
OmniExpressExome-8v1-1_B-b37,5,TRUE,358,69,142,569,478,0.503157064,0.872138911
HumanOmniExpressExome-8-v1-1-C-b37,5,TRUE,358,69,142,569,478,0.503157064,0.872138911
InfiniumOmniExpressExome-8v1-3_A-b37,5,TRUE,358,69,142,569,471,0.411996843,0.870560379
InfiniumOmniExpressExome-8v1-4_A1-b37,5,TRUE,358,69,136,563,461,0.39976322,0.88792423
HumanOmni25Exome-8v1_A-b37,5,TRUE,296,131,224,651,609,0.598263615,0.951460142
HumanOmni2-5Exome-8-v1-1-A-b37,5,TRUE,297,130,221,648,604,0.589187056,0.947908445
InfiniumOmni2.5Exome-8v1-2_A-b37,5,TRUE,312,115,209,636,585,0.471586425,0.920678769
InfiniumOmni2-5Exome-8v1-3_A1-b37,5,TRUE,298,129,222,649,607,0.524467245,0.942383583
HumanOmniZhongHua-8v1_B-b37,5,TRUE,389,38,79,506,266,0.06866614,0.669692186
humanomnizhonghua-8v1-1_a-b37,5,TRUE,392,35,77,504,213,0.668508287,0.783346488
HumanOmniZhongHua-8v1-2_A-b37,5,TRUE,398,29,71,498,198,0.668508287,0.778610892
InfiniumOmniZhongHua-8v1-3_A1-b37,5,TRUE,401,26,73,500,187,0.668508287,0.775453828
InfiniumOmniZhongHua-8v1-3_A2-b37,5,TRUE,401,26,73,500,187,0.668508287,0.775453828
Human1Mv1_C-b37,5,TRUE,312,115,39,466,399,0.524072612,0.977505919
Human1M-Duov3_B-b37,5,TRUE,337,90,31,458,380,0.389108129,0.932123125
Human1M-Duov3_C-b37,5,TRUE,337,90,31,458,380,0.389108129,0.932517758
human1m-duov3_h-b37,5,TRUE,337,90,31,458,379,0.389108129,0.932517758
HumanOmni1-Quad_v1-0_B-b37,5,TRUE,409,18,6,433,205,0.129044988,0.521704815
HumanOmni1-Quad_v1-0_C-b37,5,TRUE,409,18,6,433,205,0.129044988,0.521704815
HumanOmni1-Quad_v1-0_H-b37,5,TRUE,409,18,6,433,205,0.129044988,0.521704815
humanomni1-quad_v1-0-multi_h-b37,5,TRUE,409,18,6,433,205,0.129044988,0.521704815
HumanOmni1S-8v1_H-b37,5,TRUE,363,64,20,447,350,0.362667719,0.906471981
Human1-2M-DuoCustom_v1_A-b37,5,TRUE,339,88,33,460,381,0.389108129,0.933307024
HumanOmni2.5-4v1_B-b37,5,TRUE,363,64,20,447,351,0.362667719,0.906077348
HumanOmni2.5-4v1_D-b37,5,TRUE,363,64,20,447,350,0.362667719,0.906866614
HumanOmni2.5-4v1_H-b37,5,TRUE,363,64,20,447,350,0.362667719,0.906866614
HumanOmni2.5-8v1_A-b37,5,TRUE,324,103,104,531,480,0.355169692,0.941199684
HumanOmni2-5-8-v1-0-D-b37,5,TRUE,324,103,104,531,480,0.355169692,0.941199684
HumanOmni25-8v1-1_A-b37,5,TRUE,333,94,98,525,465,0.355169692,0.937647987
HumanOmni2-5-8-v1-2-A-b37,5,TRUE,355,72,81,508,395,0.326361484,0.878058406
humanomni25m-8v1-1_b-b37,5,TRUE,333,94,98,525,465,0.355169692,0.937647987
HumanOmni2.5-8v1_C-b37,5,TRUE,324,103,104,531,480,0.355169692,0.941594317
HumanOmni2-5-8-v1-1-C-b37,5,TRUE,333,94,98,525,465,0.355169692,0.937647987
HumanOmni2.5S-8v1_B-b37,5,TRUE,405,22,9,436,244,0.048539858,0.651933702
HumanOmni25-8v1-2_A1-b37,5,TRUE,355,72,81,508,396,0.326361484,0.87726914
InfiniumOmni2-5-8v1-3_A1-b37,5,TRUE,343,84,94,521,451,0.363062352,0.928571429
HumanOmni5-4v1_B-b37,5,TRUE,310,117,111,538,492,0.389502762,0.942383583
humanomni5-4v1_c-b37,5,TRUE,310,117,111,538,492,0.389502762,0.942383583
HumanOmni5-4-v1-0-D-b37,5,TRUE,310,117,111,538,492,0.389502762,0.941199684
HumanOmni5-4v1-1_A-b37,5,TRUE,338,89,95,522,443,0.335832676,0.891475927
InfiniumOmni5-4v1-2_A1-b37,5,TRUE,321,106,102,529,477,0.381610103,0.930149961
HumanOmni5Exome-4v1_A-b37,5,TRUE,274,153,240,667,626,0.623125493,0.94593528
HumanOmni5Exome-4v1-1_A-b37,5,TRUE,276,151,236,663,625,0.644830308,0.954617206
HumanOmni5Exome-4v1-2_A-b37,5,TRUE,304,123,219,646,591,0.567087609,0.904498816
InfiniumOmni5Exome-4v1-3_A1-b37,5,TRUE,280,147,225,652,612,0.554853986,0.964483031
HumanCytoSNP-12v1-0_D-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCytoSNP-12v2.1-FFPE_G-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2_h-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2-1_h-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2-1_l-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
cytosnp-850k_b-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
CytoSNP-850K_v1-1_iScan_A1-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
humancore-12v1-0_a-b37,5,TRUE,342,85,85,512,453,0.207971586,0.85753749
HumanCore-12-v1-0-B-b37,5,TRUE,342,85,85,512,453,0.207971586,0.856748224
humancore-24-v1-0-manifest-file-a-b37,5,TRUE,343,84,85,512,452,0.207971586,0.857142857
InfiniumCore-24v1-1_A1-b37,5,TRUE,353,74,84,511,442,0.207971586,0.855169692
Immuno_BeadChip_11419691_B-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
InfiniumImmunoArray-24v2-0_A-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
Multi-EthnicGlobal_A1-b37,5,TRUE,242,185,413,840,804,0.683109708,0.976716654
HumanExome-12v1_A-b37,5,TRUE,354,73,146,573,487,0.503157064,0.86937648
HumanExome-12v1-1_A-b37,5,TRUE,358,69,143,570,479,0.503157064,0.872138911
HumanExome-12v1-2_A-b37,5,TRUE,359,68,143,570,473,0.490923441,0.858326756
InfiniumExome-24v1-1_A1-b37,5,TRUE,360,67,137,564,459,0.39976322,0.88792423
HumanCoreExome-12v1-0_B-b37,5,TRUE,282,145,225,652,609,0.651144436,0.96961326
humancoreexome-12v1-0_c-b37,5,TRUE,282,145,225,652,610,0.651144436,0.970402526
HumanCoreExome-12-v1-0-D-b37,5,TRUE,282,145,225,652,610,0.651144436,0.970402526
humancoreexome-12v1-1_a-b37,5,TRUE,287,140,227,654,608,0.639305446,0.950276243
HumanCoreExome-12v1-1_B-b37,5,TRUE,287,140,227,654,609,0.639305446,0.951065509
HumanCoreExome-12-v1-1-C-b37,5,TRUE,287,140,227,654,609,0.639305446,0.951065509
HumanCoreExome-24v1-0_A-b37,5,TRUE,293,134,211,638,588,0.560378848,0.891475927
InfiniumCoreExome-24v1-1_A-b37,5,TRUE,291,136,215,642,596,0.560378848,0.904893449
InfiniumCoreExome-24v1-2_A1-b37,5,TRUE,290,137,226,653,612,0.539068666,0.941199684
Cardio-Metabo_Chip_11395247_A-b37,5,TRUE,327,100,27,454,344,0.616022099,0.91160221
cardio-metabo_chip_11395247_c-b37,5,TRUE,327,100,27,454,345,0.616022099,0.911207577
CVDSNP55v1_A-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
PsychArray_A-b37,5,TRUE,306,121,195,622,565,0.552486188,0.888713496
PsychArray-B-b37,5,TRUE,306,121,195,622,566,0.552486188,0.888318863
InfiniumPsychArray-24v1-1_A1-b37,5,TRUE,308,119,200,627,574,0.461325967,0.876479874
InfiniumPsychArray-24v1-2_A1-b37,5,TRUE,293,134,222,649,607,0.539068666,0.936069455
InfiniumPsychArray-24v1-2_A2-b37,5,TRUE,293,134,222,649,607,0.539068666,0.936069455
PsychChip_15048346_B-b37,5,TRUE,287,140,227,654,608,0.639305446,0.950276243
PsychChip_v1-1_15073391_A1-b37,5,TRUE,277,150,232,659,619,0.642067877,0.960536701
GSAMD-24v1-0_20011747_A1-b37,5,TRUE,370,57,63,490,359,0.362273086,0.876085241
GSAMD-24v2-0_20024620_A1-b37,5,TRUE,140,287,638,1065,1045,0.867403315,0.991318074
GSA-24v1-0_A1-b37,5,TRUE,370,57,62,489,358,0.362273086,0.876479874
GSA-24v1-0_A2-b37,5,TRUE,370,57,62,489,358,0.362273086,0.876479874
GSA-24v1-0_A6-b37,5,TRUE,370,57,62,489,358,0.362273086,0.876479874
GSA-24v2-0_A1-b37,5,TRUE,208,219,553,980,949,0.803078137,0.986187845
GSCA-24v1-0_20010441_A1-b37,5,TRUE,370,57,63,490,359,0.362273086,0.875690608
OncoArray-500K_B-b37,5,TRUE,376,51,73,500,384,0.589976322,0.942383583
OncoArray-500K-C-b37,5,TRUE,376,51,73,500,384,0.589976322,0.943172849
Consortium-OncoArray_15047405_A-b37,5,TRUE,374,53,78,505,392,0.589976322,0.943962115
NeuroX_15036164_A-b37,5,TRUE,358,69,143,570,478,0.503157064,0.871744278
Mapping250K_Nsp.na32.annot-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
Mapping250K_Sty.na32.annot-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
GenomeWideSNP_6.na33.annot-b37,5,TRUE,315,112,105,532,464,0.619573796,0.962115233
