array,kHAP,imputed,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
InfiniumOmni5-4v1-2_A1-b37,10000,TRUE,321,106,102,529,279,0.465666929755328,0.820836621941594
HumanOmni5Exome-4v1_A-b37,10000,TRUE,274,153,240,667,485,0.707971586424625,0.862273086029992
HumanOmni5Exome-4v1-1_A-b37,10000,TRUE,276,151,236,663,478,0.702446724546172,0.791239147592739
HumanOmni5Exome-4v1-2_A-b37,10000,TRUE,304,123,219,646,422,0.570639305445935,0.772296764009471
InfiniumOmni5Exome-4v1-3_A1-b37,10000,TRUE,280,147,225,652,453,0.635359116022099,0.902525651144436
HumanCytoSNP-12v1-0_D-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCytoSNP-12v2.1-FFPE_G-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2_h-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2-1_h-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2-1_l-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
cytosnp-850k_b-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
CytoSNP-850K_v1-1_iScan_A1-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
humancore-12v1-0_a-b37,10000,TRUE,342,85,85,512,244,0.27663772691397,0.627466456195738
HumanCore-12-v1-0-B-b37,10000,TRUE,342,85,85,512,244,0.27663772691397,0.62707182320442
humancore-24-v1-0-manifest-file-a-b37,10000,TRUE,343,84,85,512,245,0.277032359905288,0.596685082872928
InfiniumCore-24v1-1_A1-b37,10000,TRUE,353,74,84,511,227,0.277032359905288,0.582083662194159
Immuno_BeadChip_11419691_B-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
InfiniumImmunoArray-24v2-0_A-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
Multi-EthnicGlobal_A1-b37,10000,TRUE,242,185,413,840,671,0.720599842146804,0.895816890292028
HumanExome-12v1_A-b37,10000,TRUE,354,73,146,573,267,0.625493291239148,0.681925808997632
HumanExome-12v1-1_A-b37,10000,TRUE,358,69,143,570,258,0.62904498816101,0.716653512233623
HumanExome-12v1-2_A-b37,10000,TRUE,359,68,143,570,259,0.610891870560379,0.698500394632991
InfiniumExome-24v1-1_A1-b37,10000,TRUE,360,67,137,564,257,0.510655090765588,0.696527229676401
HumanCoreExome-12v1-0_B-b37,10000,TRUE,282,145,225,652,457,0.72533543804262,0.802683504340963
humancoreexome-12v1-0_c-b37,10000,TRUE,282,145,225,652,457,0.72533543804262,0.802683504340963
HumanCoreExome-12-v1-0-D-b37,10000,TRUE,282,145,225,652,457,0.72533543804262,0.802683504340963
humancoreexome-12v1-1_a-b37,10000,TRUE,287,140,227,654,455,0.707182320441989,0.794001578531965
HumanCoreExome-12v1-1_B-b37,10000,TRUE,287,140,227,654,454,0.707182320441989,0.793606945540647
HumanCoreExome-12-v1-1-C-b37,10000,TRUE,287,140,227,654,454,0.707182320441989,0.793606945540647
HumanCoreExome-24v1-0_A-b37,10000,TRUE,293,134,211,638,430,0.619968429360695,0.713496448303078
InfiniumCoreExome-24v1-1_A-b37,10000,TRUE,291,136,215,642,431,0.619968429360695,0.715469613259669
InfiniumCoreExome-24v1-2_A1-b37,10000,TRUE,290,137,226,653,446,0.605367008681926,0.693370165745856
Cardio-Metabo_Chip_11395247_A-b37,10000,TRUE,327,100,27,454,183,0.739936858721389,0.908050513022889
cardio-metabo_chip_11395247_c-b37,10000,TRUE,327,100,27,454,183,0.739936858721389,0.908050513022889
CVDSNP55v1_A-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
PsychArray_A-b37,10000,TRUE,306,121,195,622,386,0.583662194159432,0.749802683504341
PsychArray-B-b37,10000,TRUE,306,121,195,622,386,0.583662194159432,0.749802683504341
InfiniumPsychArray-24v1-1_A1-b37,10000,TRUE,308,119,200,627,396,0.492501973164957,0.711523283346488
InfiniumPsychArray-24v1-2_A1-b37,10000,TRUE,293,134,222,649,435,0.615627466456196,0.707971586424625
InfiniumPsychArray-24v1-2_A2-b37,10000,TRUE,293,134,222,649,435,0.615627466456196,0.707971586424625
PsychChip_15048346_B-b37,10000,TRUE,287,140,227,654,456,0.707182320441989,0.794001578531965
PsychChip_v1-1_15073391_A1-b37,10000,TRUE,277,150,232,659,472,0.724940805051302,0.802288871349645
GSAMD-24v1-0_20011747_A1-b37,10000,TRUE,370,57,63,490,182,0.453433307024467,0.7991318074191
GSAMD-24v2-0_20024620_A1-b37,10000,TRUE,140,287,638,1065,997,0.890292028413575,0.92817679558011
GSA-24v1-0_A1-b37,10000,TRUE,370,57,62,489,181,0.453433307024467,0.7991318074191
GSA-24v1-0_A2-b37,10000,TRUE,370,57,62,489,181,0.453433307024467,0.7991318074191
GSA-24v1-0_A6-b37,10000,TRUE,370,57,62,489,181,0.453433307024467,0.7991318074191
GSA-24v2-0_A1-b37,10000,TRUE,208,219,553,980,858,0.812943962115233,0.873717442778216
GSCA-24v1-0_20010441_A1-b37,10000,TRUE,370,57,63,490,182,0.453433307024467,0.7991318074191
OncoArray-500K_B-b37,10000,TRUE,376,51,73,500,178,0.669297553275454,0.822809786898185
OncoArray-500K-C-b37,10000,TRUE,376,51,73,500,176,0.669297553275454,0.846093133385951
Consortium-OncoArray_15047405_A-b37,10000,TRUE,374,53,78,505,184,0.669297553275454,0.822415153906867
NeuroX_15036164_A-b37,10000,TRUE,358,69,143,570,258,0.62904498816101,0.716653512233623
Mapping250K_Nsp.na32.annot-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
Mapping250K_Sty.na32.annot-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
GenomeWideSNP_6.na33.annot-b37,10000,TRUE,315,112,105,532,290,0.656274664561957,0.811760063141279
