seq_name,duplicate_seqs
KC554006.1,KC554007.1
KJ154674.1,KJ154778.1;KJ154779.1
GU123031.1,GU123034.1
KF148339.1,KF148349.1
MF362772.1,MF362782.1
KY409601.1,KY409865.1
KF148100.1,KF148292.1;KF148543.1
KU683148.1,KU683400.1
GU122985.1,GU122988.1
JX021622.1,JX026278.1;JX313125.1
MG272933.1,MG272936.1
KX456548.1,KX456564.1;KX456568.1
MF498708.1,MF498716.1
KY645811.1,KY645823.1
KJ445897.1,KJ445898.1
MF057571.1,MF058369.1;MF058370.1
JX900531.1,JX900537.1
KC346234.1,KC346243.1
KT726080.1,KT726086.1;KT726099.1
HQ659689.1,MG980683.1
KX457258.1,KX457272.1;KX457276.1;KX457278.1;KX457464.1
KF450950.1,KY824898.1
MF057914.1,MF057920.1;MF057921.1
KJ154654.1,KJ154655.1;KJ154656.1;KJ154660.1;KJ154661.1;KJ154662.1;KJ154663.1;KJ154664.1;KJ154673.1;KJ154695.1;KJ154698.1;KJ154699.1;KJ154706.1;KJ154786.1;KJ154795.1
KJ446185.1,KJ446186.1
KF056298.1,KF056299.1
MF056003.1,MF056784.1
KM102103.1,KM102112.1
KX457128.1,KX457131.1
JQ245793.1,JQ245796.1
KC346238.1,KC346239.1;KC346246.1
KC985162.1,KC985163.1
JX669206.1,JX669289.1
KX358485.1,KX358490.1
KT213753.1,KT213757.1;KT213760.1;KT213764.1;KT213778.1;KT213780.1;KT213781.1;KT213788.1;KT213793.1;KT213795.1;KT213801.1;KT213807.1;KT213809.1;KT213810.1;KT213811.1;KT213813.1;KT213822.1;KT213826.1
MF057316.1,MF057894.1
KP407069.1,KP407070.1;KP407071.1
KM101846.1,KY671006.1
KF148456.1,KF148464.1
KJ445944.1,KJ445945.1
KX456964.1,KX457261.1;KX457454.1;KX457614.1
KX457023.1,KX457025.1;KX457033.1;KX457035.1;KX457039.1;KX457041.1
JX152863.1,JX153814.1
KJ154312.1,KJ154372.1;KJ154443.1
KJ154847.1,KJ154851.1
JX900604.1,JX900608.1
KF161218.1,KF161837.1;KF161888.1;KF161974.1;KF162158.1;KM101792.1
KC733265.1,KC733267.1
AM263180.1,AY738962.1
KY645576.1,KY645591.1;KY645595.1
KX457021.1,KX457022.1
AY495157.1,AY495161.1;AY495162.1;AY495164.1;KF161802.1;KF162211.1
MF055760.1,MF055816.1;MF055853.1;MF055859.1;MF055914.1;MF057258.1;MF057279.1;MF057336.1;MF057340.1;MF057377.1;MF057418.1;MF057461.1;MF057465.1;MF057472.1;MF057475.1;MF057478.1;MF057523.1;MF057573.1;MF057586.1;MF057587.1;MF057648.1;MF057664.1;MF057745.1;MF057828.1;MF057915.1;MF057978.1;MF058044.1;MF058049.1;MF058118.1;MF058153.1;MF058162.1;MF058346.1;MF058540.1
KJ857245.1,KM101770.1
JX900535.1,JX900556.1;JX900557.1;JX900573.1
JQ797977.1,JQ797978.1;JQ797979.1;JQ797980.1;JQ797981.1;JX153402.1;JX153684.1;MF614760.1
KY409645.1,KY409956.1
KJ185436.1,KJ185464.1;KJ185580.1;KJ185723.1;KJ185725.1;KJ185919.1
JX669345.1,JX669351.1;JX669392.1
KU682975.1,KU683378.1
KC993913.1,KC993916.1
EF177410.1,GU565218.1
AP008564.1,AP008814.1
MF057538.1,MF057551.1;MF057630.1;MF057652.1;MF057675.1;MF057688.1;MF057716.1;MF057721.1;MF057802.1;MF057807.1;MF057865.1;MF057931.1;MF057962.1;MF057963.1;MF057964.1;MF057966.1;MF057970.1;MF057971.1;MF057972.1;MF057974.1;MF058024.1;MF058027.1;MF058120.1;MF058171.1;MF058178.1;MF058180.1;MF058186.1;MF058214.1;MF058221.1;MF058239.1;MF058250.1;MF058283.1;MF058302.1;MF058336.1;MF058354.1;MF058425.1;MF058451.1;MF058473.1;MF058477.1;MF058484.1;MF058499.1;MF058500.1;MF058523.1;MF058548.1;MF058584.1;MF058592.1
HM596651.1,HM596661.1
GU296580.1,GU296605.1;GU296635.1
MF948154.1,MG457776.1
JQ324832.1,JQ324833.1
JX153546.1,JX153852.1
JQ324791.1,JQ324848.1
HM036551.1,HM036557.1
AY495239.1,AY495240.1;AY495244.1;AY495248.1
EU140332.1,JQ702404.1
KU683144.1,KU683390.1
KC345867.1,KC345870.1;KC345871.1;KC345877.1;KC345878.1;KC345879.1;KC345881.1;KC345904.1;KC345908.1
MF058103.1,MF058579.1
MF057509.1,MF057786.1;MF057788.1
KY645830.1,KY645878.1;KY645879.1;KY645881.1;KY645882.1;KY645893.1
KC993911.1,KC993923.1
JQ324793.1,JQ324805.1
JX152822.1,JX153912.1;JX441882.1
KY409679.1,KY409883.1
KC887479.1,KC887481.1;KC887483.1
JN214395.1,JN214396.1;JN214405.1;JN214422.1;KC471310.1
AP008542.1,AP008718.1;AP011032.1
MF057526.1,MF057554.1;MF057583.1;MF058387.1
KY645786.1,KY645787.1
MF056825.1,MF057027.1
MG272844.1,MG272855.1;MG272861.1
KF451025.1,KF451600.1
KJ446020.1,KJ446021.1;KJ446022.1
KC733271.1,KC733272.1;KC733273.1
KY408892.1,KY409331.1;KY409413.1;KY409511.1;KY409529.1;KY409750.1;KY409829.1;KY409916.1
JX153530.1,JX153661.1
DQ523644.1,DQ523669.1
MF056402.1,MF056615.1;MF056633.1
MF356230.1,MF399064.1
JX153674.1,JX154022.1
AP008510.1,AP008576.1
FJ858889.1,KF148430.1;KF148461.1;KF148474.1
JX900414.1,JX900456.1;JX900499.1;JX900526.1;JX900689.1;JX900746.1
MF057608.1,MF058240.1
MF696013.1,MF696014.1
KC345944.1,KC346191.1
KY409966.1,KY410060.1
AP008512.1,AP010740.1
KY409647.1,KY410026.1
MG272765.1,MG272776.1;MG272777.1
KX456878.1,KX456879.1
EU600338.1,KJ446282.1;KJ446283.1;KJ446284.1;KJ446285.1
MG571171.1,MG571172.1
KJ923839.1,KJ923840.1
KC533460.1,KC533461.1
KC345934.1,KC345935.1;KC345999.1;KC346003.1;KC346030.1;KC346031.1;KC346089.1;KC346190.1;KC346192.1;KC346208.1
KF451037.1,KF451590.1;KF451592.1;KF451594.1
KY408256.1,KY408308.1;KY408327.1;KY408549.1;KY408636.1
KU682885.1,KU683272.1
JX153544.1,JX153828.1
MF056157.1,MF056158.1
KJ716340.1,KJ843286.1
KX456755.1,KX456756.1;KX456769.1;KX456772.1;KX456773.1
MF058409.1,MF058417.1
EU719211.1,EU721733.1
KC505095.1,KC887468.1;KC887471.1;KC887474.1
KU683289.1,KU683539.1
KY408876.1,KY408922.1;KY409125.1
KC345952.1,KC346020.1;KC346022.1;KC346196.1
HQ659685.1,KC763373.1;MG518475.1
AP008476.1,AP008880.1;AP010682.1
MG428998.1,MG429014.1
JX128077.1,JX154046.1
KU686541.1,KU686655.1
EU092848.1,EU092850.1
HM775953.1,HQ651685.1;HQ651690.1;HQ651691.1
MF057811.1,MF057818.1
JX153915.1,JX153970.1
AY495218.1,AY495230.1
KF163047.1,MF152680.1
KY409509.1,KY409650.1
KY408894.1,KY408911.1;KY408912.1;KY408917.1;KY408962.1;KY409011.1;KY409050.1;KY409176.1;KY409933.1
JX153119.1,MF152678.1
MF056608.1,MF056688.1
AY495262.1,KM101779.1
KC505071.1,KC505079.1;KC505081.1;KC505085.1
MF498715.1,MF498717.1
KX456635.1,KX456636.1;KX457174.1
MG273087.1,MG273099.1
KC911455.1,KC911563.1
MF056926.1,MF058405.1
MF056510.1,MF056522.1;MF056523.1
KJ669127.1,KJ669133.1
AY339476.2,AY339479.2;AY339484.2;AY339488.2;KF061034.1
KF540943.1,KF540945.1;KF540957.1
EU600320.1,KJ446167.1
KF161548.1,KF162176.1
KF161919.1,MG646099.1
KY408841.1,KY408854.1;KY408925.1;KY408983.1;KY408988.1;KY409015.1;KY409078.1;KY409079.1;KY409081.1;KY409093.1;KY409134.1;KY409148.1;KY409181.1;KY409477.1
KF451006.1,KF451008.1
MF695955.1,MF695973.1;MF695979.1
KY645658.1,KY645663.1
MF056561.1,MF056568.1;MF056571.1
KY645624.1,KY645674.1;KY645681.1;KY645721.1
AP008442.1,AP008500.1
JX152950.1,JX153346.1;JX153890.1;KF163035.1
KM102019.1,KM102126.1
JF824890.2,JF824983.2
HQ873520.1,HQ873521.1;HQ873526.1
GU810010.1,GU810049.1
KC887491.1,KC887496.1
KJ446037.1,KJ446038.1
MF362748.1,MF362771.1;MF362776.1
KJ185426.1,KJ185438.1;KJ185663.1;KJ185668.1;KJ185669.1;KJ185673.1;KJ185676.1;KJ185920.1;KJ185980.1
MF523018.1,MF523022.1;MF523023.1;MF523026.1
DQ282448.1,DQ282450.1;DQ282451.1;DQ282452.1;DQ282454.1;DQ282455.1;DQ282456.1;DQ282457.1;DQ282458.2;KM102069.1;KM102153.1
AP008866.1,KJ446667.1
KJ154898.1,KJ154900.1;KJ154906.1;KJ154914.1;KJ154920.1
JX153465.1,JX153497.1
KT819216.1,KT819217.1
JX153942.1,KF162612.1;KF162624.1;KF162895.1
KY595644.1,KY595645.1
GU392096.1,GU392097.1;GU392098.1
JX152958.1,JX153721.1
MF522862.1,MF522900.1
JX152924.1,JX153149.1;JX154002.1;KF450961.1
FJ527772.2,FJ527773.2;FJ527774.2;FJ527775.2;FJ527776.2;FJ527778.2;JQ324632.1;JQ324744.1;JQ324758.1;JQ324772.1;JQ324846.1;JQ324899.1
KX456747.1,KX456749.1;KX457403.1;KX457412.1
JF824833.2,JF824926.2
AP008403.1,AP008491.1
MF695944.1,MF695945.1
JQ703755.1,JQ705183.1
GU123047.1,KU683083.1
EU443463.1,EU443465.1
JX153564.1,JX171098.1
MF057444.1,MF058077.1
MF055812.1,MF055929.1;MF057291.1;MF057294.1
KU686489.1,KU686663.1
KC711031.1,KC711032.1
KJ154267.1,KJ154300.1
AP008415.1,AP008640.1
MG272884.1,MG272893.1
FJ798928.1,JQ701831.1
EU443471.1,EU443500.1;FJ383272.1;FJ383274.1
KY409454.1,KY409999.1
JX900362.1,JX900651.1
GU810008.1,GU810046.1
KP317019.1,KP317020.1
KC346163.1,KC346209.1;KC346213.1
EU273476.1,EU273487.1
KX456759.1,KX456766.1;KX456775.1;KX456776.1
JN214429.1,JQ704349.1
MG272786.1,MG272790.1;MG272793.1;MG272798.1;MG272804.1;MG272810.1;MG272818.1;MG272831.1
KC622104.1,KC622164.1;KC622222.1
EU443475.1,FJ383238.1;FJ383242.1
AP008433.1,AP009429.1;AP009455.1
KC346108.1,KC346160.1
JF824821.2,JF824914.2
KY645628.1,KY645630.1;KY645631.1;KY645632.1;KY645633.1;KY645634.1;KY645660.1
KF148213.1,KF148233.1;KF148234.1;KF148421.1;KF148506.1
KF161426.1,KF161513.1
KJ154901.1,KJ154915.1
MF057863.1,MF057929.1
KU683021.1,KU683465.1;KU683478.1;KU683495.1
FJ348151.1,FJ348152.1
MG646150.1,MG646196.1
JX153163.1,JX153527.1
KU683291.1,KU683387.1;KU683439.1
KY409444.1,KY409753.1;KY409771.1;KY409925.1
FJ004804.1,FJ004809.1
JX152975.1,JX153815.1;JX153824.1
KJ994344.1,KY656558.1
KJ786933.1,KJ801917.1
KY409442.1,KY410213.1
JX153161.1,KF162680.1
KY409420.1,KY409743.1
KP317063.1,KP317064.1
KF540517.1,KF540522.1
MF043435.1,MF043508.1
JQ703765.1,MH351267.1
KC257313.1,KC257314.1;KC257315.1;KC257316.1;KC257317.1;KC257318.1;KC257319.1;KC257320.1;KC257321.1;KC257322.1;KC257323.1;KF161601.1
MF523159.1,MF523203.1
EF485042.1,EU170361.1
MF695980.1,MF695998.1;MF696036.1;MF696095.1;MF696108.1;MF696117.1;MF696121.1
KF540515.1,KF540525.1
KX456729.1,KX456735.1;KX457419.1;KX457420.1
JQ703877.1,KC257308.1
AY339446.1,AY339447.1;AY339448.1;AY339449.1
MF043478.1,MF043494.1
JF824857.2,JF824950.2
MF057474.1,MF057794.1;MF057884.1;MF058142.1
MF057487.1,MF057501.1
KX457052.1,KX457053.1;KX457057.1;KX457058.1;KX457060.1;KX457064.1;KX457065.1
KC252422.1,KC252495.1
KY797246.1,KY797249.1
FJ695219.1,FJ696386.1
MF058096.1,MF058224.1
KC505108.1,KC887460.1;KC887493.1;KC887497.1
KC257336.1,KC257340.1;KC257342.1
KM101887.1,KM101961.1
KX456689.1,KX456705.1
JN214425.1,JN214426.1
AP009464.1,AP011013.1
JQ703008.1,JQ703130.1
KY408366.1,KY408488.1;KY408681.1
KJ446679.1,KJ446681.1
KC622109.1,KC622256.1
JX152824.1,JX153725.1
KX456599.1,KX456618.1
MF056007.1,MF056114.1;MF056117.1
KY409473.1,KY409609.1
MF523147.1,MF523148.1;MF523170.1
EU131366.1,JQ703502.1
KX457489.1,KX457492.1
KJ445794.1,KJ445795.1
EF114282.1,EF114283.1;EF114284.1
KT725988.1,KT726005.1
KY409471.1,KY409472.1
KY408275.1,KY408296.1;KY408317.1;KY408332.1;KY408352.1;KY408365.1;KY408374.1;KY408376.1;KY408413.1;KY408465.1;KY408494.1;KY408539.1;KY408551.1;KY408568.1;KY408574.1;KY408589.1;KY408613.1;KY408682.1;KY408702.1;KY408722.1;KY408749.1;KY408757.1;KY408778.1;KY408800.1;KY408833.1
MF055947.1,MF056004.1;MF056029.1;MF056032.1;MF056034.1;MF056038.1;MF056056.1;MF056062.1;MF056065.1;MF056070.1;MF056103.1;MF056116.1;MF056166.1;MF056181.1;MF056208.1;MF056209.1;MF056231.1;MF056244.1;MF056245.1;MF056247.1;MF056256.1;MF056284.1;MF056300.1;MF056302.1;MF056306.1;MF056320.1;MF056340.1;MF056367.1;MF056425.1;MF056457.1;MF056459.1;MF056460.1;MF056485.1;MF056540.1;MF056546.1;MF056585.1;MF056652.1;MF056654.1;MF056655.1;MF056656.1;MF056661.1;MF056663.1;MF056827.1;MF056907.1;MF056917.1;MF056918.1;MF056931.1;MF056938.1;MF056943.1;MF056953.1;MF057006.1;MF057032.1;MF057035.1;MF057039.1;MF057046.1;MF057063.1;MF057139.1;MF057167.1;MF057229.1;MF057248.1
KF148291.1,KF148305.1
KX456681.1,KX456686.1;KX456694.1;KX456696.1;KX456698.1
MG272802.1,MG272805.1;MG272892.1
MF522965.1,MF522966.1
KC994051.1,KC994052.1;KC994121.1;KC994122.1
MF523157.1,MF523172.1;MF523178.1;MF523185.1
EF114286.1,EF114287.1
KY409491.1,KY409634.1;KY409709.1;KY410119.1;KY410212.1
MF057877.1,MF058071.1;MF058206.1
MF056713.1,MF056719.1
MF057485.1,MF057513.1;MF057593.1;MF057704.1;MF057732.1;MF057755.1;MF057800.1;MF057999.1;MF058060.1;MF058253.1;MF058278.1;MF058303.1;MF058381.1;MF058466.1;MF058470.1;MF058478.1;MF058480.1;MF058481.1;MF058485.1;MF058491.1;MF058514.1;MF058543.1
JF824855.2,JF824948.2
