array,mcc_mean,mcc_lower,mcc_upper,mcc_df,mcc_rank
HumanOmni2.5-8v1_C-b37,0.6174197384490006,0.591885651411715,0.6429538254862861,577,50
HumanOmniExpressExome-8v1-2_A-b37,0.6174052569340042,0.5881552263305,0.6466552875375083,438,51
PsychArray-B-b37,0.617193687709739,0.5905736139643313,0.6438137614551468,570,52
HumanOmniExpressExome-8-v1-2-B-b37,0.6151545236166877,0.5858850480857792,0.6444239991475961,442,53
HumanExome-12v1-2_A-b37,0.6149306011143224,0.5855095248080449,0.6443516774206,440,54
HumanExome-12v1_A-b37,0.6148724469870234,0.5862841713491866,0.6434607226248601,466,55
HumanOmniExpressExome-8-v1-0-B-b37,0.6145372732863986,0.5867036159211371,0.6423709306516602,480,56
Human1M-Duov3_C-b37,0.6124153632669588,0.5821577438479147,0.6426729826860028,433,57
humanomniexpressexome-8v1-0_a-b37,0.6123164328224128,0.5845143328547994,0.6401185327900262,484,58
HumanHap550-2v3_B-b37,0.6122662512693665,0.5850383551336525,0.6394941474050805,508,59
HumanOmni2-5-8-v1-1-C-b37,0.6122316589520526,0.5852003590896846,0.6392629588144205,544,60
humanomni25m-8v1-1_b-b37,0.6122316589520526,0.5852003590896846,0.6392629588144205,544,61
HumanOmni2-5-8-v1-0-D-b37,0.6102952476950588,0.5844754519917557,0.636115043398362,583,62
human610-quadv1_h-b37,0.6099088212170156,0.5794076381291937,0.6404100043048375,431,63
HumanHap650Yv3_A-b37,0.6096498517381455,0.5823199082193061,0.6369797952569848,513,64
Human1Mv1_C-b37,0.6090293388322565,0.581881608122444,0.636177069542069,519,65
HumanHap550v3_A-b37,0.6088431040754599,0.581435949132192,0.6362502590187279,511,66
Human660W-Quad_v1_A-b37,0.6084113537950445,0.5783056761755465,0.6385170314145425,438,67
Human1-2M-DuoCustom_v1_A-b37,0.6079847270708818,0.5777371507342947,0.638232303407469,435,68
HumanOmni25-8v1-1_A-b37,0.6076975019912769,0.5808314974713554,0.6345635065111984,554,69
Human670-QuadCustom_v1_A-b37,0.6074567395936044,0.5768919999451264,0.6380214792420823,434,70
human1m-duov3_h-b37,0.6067021180101474,0.5764772774941445,0.6369269585261503,439,71
Human610-Quadv1_B-b37,0.606214300144753,0.575782926676424,0.636645673613082,435,72
Human660W-Quad_v1_C-b37,0.6059056024644847,0.5758298352660327,0.6359813696629366,439,73
human660w-quad_v1_h-b37,0.6039834899299936,0.5735886617358192,0.634378318124168,438,74
Human1M-Duov3_B-b37,0.602955391056013,0.5723892001841693,0.6335215819278568,437,75
HumanOmni25-8v1-2_A1-b37,0.594896064484009,0.563670506065788,0.6261216229022301,418,76
HumanOmni2-5-8-v1-2-A-b37,0.592334435845314,0.5612170985762577,0.6234517731143703,421,77
BDCHP-1X10-HUMANHAP550_11218540_C-b37,0.5913358468292221,0.5642962017557901,0.6183754919026542,539,78
GenomeWideSNP_6.na33.annot-b37,0.5862687994536702,0.5617248444145494,0.6108127544927909,603,79
cardio-metabo_chip_11395247_c-b37,0.5834787173765431,0.549670926772201,0.6172865079808852,357,80
GSA-24v1-0_A2-b37,0.5826104877111427,0.5503960032422498,0.6148249721800355,405,81
GSCA-24v1-0_20010441_A1-b37,0.5806517530490171,0.548344668038962,0.6129588380590721,403,82
GSA-24v1-0_A1-b37,0.5801318784534543,0.5476348600380826,0.6126288968688259,401,83
GSAMD-24v1-0_20011747_A1-b37,0.5791172349119971,0.5467024658790881,0.611532003944906,404,84
GSA-24v1-0_A6-b37,0.5786868017220079,0.546201074703777,0.6111725287402389,401,85
Cardio-Metabo_Chip_11395247_A-b37,0.5762826080471019,0.5421827437660849,0.6103824723281188,357,86
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,0.5733262622072482,0.551842987379629,0.5948095370348675,827,87
HumanOmniZhongHua-8v1-2_A-b37,0.5707065964273101,0.5174406921543299,0.6239725007002904,155,88
HumanOmni1S-8v1_H-b37,0.569018674468067,0.5343281811187283,0.6037091678174057,370,89
HumanOmni2.5-4v1_B-b37,0.5678705716560903,0.533242314990992,0.6024988283211887,375,90
HumanOmni2.5-4v1_D-b37,0.5678705716560903,0.533242314990992,0.6024988283211887,375,91
HumanOmni2.5-4v1_H-b37,0.5669039574212781,0.5321515219201043,0.6016563929224519,372,92
InfiniumOmniZhongHua-8v1-3_A2-b37,0.5639387127706258,0.5064803027105541,0.6213971228306975,135,93
Immuno_BeadChip_11419691_B-b37,0.5636872028038246,0.43992266335867247,0.6874517422489766,11,94
InfiniumImmunoArray-24v2-0_A-b37,0.5636872028038246,0.43992266335867247,0.6874517422489766,11,95
InfiniumOmniZhongHua-8v1-3_A1-b37,0.5611570612123551,0.5034222476858551,0.6188918747388551,136,96
humanomnizhonghua-8v1-1_a-b37,0.5601413784982786,0.5104257475483456,0.6098570094482116,187,97
HumanOmniZhongHua-8v1_B-b37,0.5422547923835348,0.4950649022959355,0.5894446824711341,214,98
HumanOmni1-Quad_v1-0_H-b37,0.4280603954167868,0.3296032992234438,0.5265174916101298,59,99
HumanOmni1-Quad_v1-0_B-b37,0.4259008834908396,0.3269291439389998,0.5248726230426795,59,100
HumanOmni1-Quad_v1-0_C-b37,0.41904308515077177,0.3207743403528785,0.5173118299486651,60,101
humanomni1-quad_v1-0-multi_h-b37,0.41886984169700336,0.32056335873422803,0.5171763246597787,60,102
HumanOmni2.5S-8v1_B-b37,0.38074839766279267,0.3202671212116314,0.4412296741139539,140,103
