array,haplogrep_imputed_match_mean,haplogrep_imputed_match_lower,haplogrep_imputed_match_upper,haplogrep_imputed_match_df,haplogrep_typed_match_mean,haplogrep_typed_match_lower,haplogrep_typed_match_upper,haplogrep_typed_match_df,haplogrep_diff,haplogrep_imputed_match_rank,haplogrep_typed_match_rank,haplogrep_diff_rank
HumanOmni2-5Exome-8-v1-1-A-b37,0.9711917916337806,0.9646778911027467,0.9777056921648144,2533,0.9427782162588793,0.9337330623391205,0.951823370178638,2533,0.0284135753749013,19,47,19
HumanOmni25Exome-8v1_A-b37,0.9719810576164167,0.9655543984817618,0.9784077167510716,2533,0.9459352801894239,0.9371284791263239,0.9547420812525238,2533,0.026045777426992878,14,46,20
PsychArray_A-b37,0.9490923441199685,0.9405322945211624,0.9576523937187745,2533,0.9250197316495659,0.9147636967566507,0.935275766542481,2533,0.0240726124704026,38,58,21
PsychArray-B-b37,0.9490923441199685,0.9405322945211624,0.9576523937187745,2533,0.9250197316495659,0.9147636967566507,0.935275766542481,2533,0.0240726124704026,39,59,22
Cardio-Metabo_Chip_11395247_A-b37,0.9218626677190213,0.911410824177997,0.9323145112600455,2533,0.8981846882399369,0.886408089779756,0.9099612867001178,2533,0.023677979479084343,61,76,23
cardio-metabo_chip_11395247_c-b37,0.9218626677190213,0.911410824177997,0.9323145112600455,2533,0.8981846882399369,0.886408089779756,0.9099612867001178,2533,0.023677979479084343,62,77,24
InfiniumOmni5Exome-4v1-3_A1-b37,0.9822415153906867,0.9770982066974555,0.9873848240839179,2533,0.9593528018942383,0.9516626489486569,0.9670429548398197,2533,0.022888713496448387,9,33,25
InfiniumOmniZhongHua-8v1-3_A1-b37,0.3705603788476717,0.3517526209630963,0.38936813673224707,2533,0.34767166535122335,0.3291257502835539,0.3662175804188928,2533,0.022888713496448332,100,100,26
InfiniumOmniZhongHua-8v1-3_A2-b37,0.3705603788476717,0.3517526209630963,0.38936813673224707,2533,0.34767166535122335,0.3291257502835539,0.3662175804188928,2533,0.022888713496448332,101,101,27
InfiniumOmniExpressExome-8v1-4_A1-b37,0.8895027624309392,0.8772937690831708,0.9017117557787075,2533,0.867008681925809,0.853784955239408,0.8802324086122101,2533,0.022494080505130132,72,83,28
InfiniumOmni5-4v1-2_A1-b37,0.9597474348855565,0.9520931300044319,0.9674017397666811,2533,0.9384372533543804,0.9290769028841492,0.9477976038246116,2533,0.02131018153117603,35,48,29
InfiniumExome-24v1-1_A1-b37,0.8875295974743489,0.8752257470372976,0.8998334479114002,2533,0.8685872138910813,0.8554302396747119,0.8817441881074507,2533,0.018942383583267608,73,82,30
HumanOmniExpressExome-8-v1-0-B-b37,0.9262036306235202,0.9160223775291962,0.9363848837178441,2533,0.9076558800315706,0.8963814204948984,0.9189303395682428,2533,0.018547750591949574,57,71,31
InfiniumPsychArray-24v1-1_A1-b37,0.9522494080505131,0.9439452571644118,0.9605535589366143,2533,0.9344909234411997,0.9248555449588931,0.9441263019235062,2533,0.017758484609313396,37,56,32
HumanOmniExpressExome-8v1_A-b37,0.9238358326756116,0.9135057630924405,0.9341659022587828,2533,0.9076558800315706,0.8963814204948984,0.9189303395682428,2533,0.01617995264404104,58,72,33
humanomniexpressexome-8v1-0_a-b37,0.9238358326756116,0.9135057630924405,0.9341659022587828,2533,0.9076558800315706,0.8963814204948984,0.9189303395682428,2533,0.01617995264404104,59,73,34
Consortium-OncoArray_15047405_A-b37,0.9116022099447514,0.9005473337123543,0.9226570861771485,2533,0.8966061562746646,0.884749050482905,0.9084632620664241,2533,0.014996053670086829,69,78,35
OncoArray-500K_B-b37,0.9100236779794791,0.8988801948334191,0.9211671611255392,2533,0.8950276243093923,0.8830908707146895,0.9069643779040951,2533,0.014996053670086829,70,79,36
OncoArray-500K-C-b37,0.9100236779794791,0.8988801948334191,0.9211671611255392,2533,0.8950276243093923,0.8830908707146895,0.9069643779040951,2533,0.014996053670086829,71,80,37
GenomeWideSNP_6.na33.annot-b37,0.9617205998421468,0.9542485885887316,0.9691926110955619,2533,0.9471191791633781,0.9384038879022469,0.9558344704245092,2533,0.014601420678768684,34,45,38
HumanOmni2-5-8-v1-2-A-b37,0.9194948697711128,0.9088994801919364,0.9300902593502892,2533,0.9056827150749802,0.8943008303971467,0.9170645997528137,2533,0.013812154696132617,64,74,39
HumanOmni25-8v1-2_A1-b37,0.9139700078926598,0.9030500387813281,0.9248899770039916,2533,0.9056827150749802,0.8943008303971467,0.9170645997528137,2533,0.008287292817679592,68,75,40
GSAMD-24v2-0_20024620_A1-b37,0.9956590370955012,0.9930988078547294,0.998219266336273,2533,0.9928966061562746,0.9896260963435228,0.9961671159690264,2533,0.002762430939226568,1,2,41
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,0.9940805051302289,0.991093172388475,0.9970678378719828,2533,0.9932912391475928,0.9901122433483007,0.9964702349468848,2533,7.892659826361781e-4,2,1,42
Multi-EthnicGlobal_A1-b37,0.988950276243094,0.9848793481190832,0.9930212043671047,2533,0.989344909234412,0.9853465396544357,0.9933432788143882,2533,-3.9463299131803353e-4,4,8,43
GSA-24v2-0_A1-b37,0.9901341752170482,0.9862852079247303,0.993983142509366,2533,0.9909234411996843,0.9872301703354851,0.9946167120638836,2533,-7.892659826361781e-4,3,4,44
HumanCoreExome-12v1-0_B-b37,0.9881610102604578,0.9839488811454798,0.9923731393754357,2533,0.9905288082083662,0.9867568543871525,0.9943007620295798,2533,-0.0023677979479084232,5,5,45
HumanCoreExome-12-v1-0-D-b37,0.9877663772691397,0.9834854765369522,0.9920472780013273,2533,0.9905288082083662,0.9867568543871525,0.9943007620295798,2533,-0.0027624309392264568,7,6,46
InfiniumOmni2-5Exome-8v1-3_A1-b37,0.9715864246250987,0.9651159795041543,0.9780568697460431,2533,0.9743488555643252,0.9681922531420383,0.980505457986612,2533,-0.0027624309392264568,17,26,47
BDCHP-1X10-HUMANHAP550_11218540_C-b37,0.9755327545382794,0.9695162539495383,0.9815492551270204,2533,0.9782951854775059,0.97262047781076,0.9839698931442519,2533,-0.002762430939226568,11,21,48
PsychChip_v1-1_15073391_A1-b37,0.9881610102604578,0.9839488811454798,0.9923731393754357,2533,0.9913180741910024,0.987705264846703,0.9949308835353018,2533,-0.0031570639305446013,6,3,49
humancoreexome-12v1-0_c-b37,0.9873717442778216,0.9830232137086081,0.9917202748470351,2533,0.9905288082083662,0.9867568543871525,0.9943007620295798,2533,-0.0031570639305446013,8,7,50
HumanCoreExome-24v1-0_A-b37,0.9644830307813733,0.9572753467303243,0.9716907148324223,2533,0.9676400947119179,0.9607489551627642,0.9745312342610717,2533,-0.0031570639305446013,31,31,51
HumanExome-12v1_A-b37,0.9171270718232044,0.906390847062107,0.9278632965843018,2533,0.920284135753749,0.9097362882252116,0.9308319832822864,2533,-0.0031570639305446013,67,60,52
InfiniumCoreExome-24v1-1_A-b37,0.9648776637726914,0.9577086680605481,0.9720466594848346,2533,0.9688239936858721,0.9620559495923232,0.975592037779421,2533,-0.003946329913180779,30,30,53
InfiniumOmni2.5Exome-8v1-2_A-b37,0.9558011049723757,0.9477968674747907,0.9638053424699606,2533,0.9597474348855565,0.9520931300044319,0.9674017397666811,2533,-0.003946329913180779,36,32,54
HumanOmni2-5-8-v1-1-C-b37,0.9313338595106551,0.9214857127677234,0.9411820062535867,2533,0.9356748224151539,0.9261208614010554,0.9452287834292523,2533,-0.004340962904498813,44,52,55
HumanOmni25-8v1-1_A-b37,0.9301499605367008,0.9202235939475759,0.9400763271258258,2533,0.9356748224151539,0.9261208614010554,0.9452287834292523,2533,-0.0055248618784530246,48,53,56
humanomni25m-8v1-1_b-b37,0.9301499605367008,0.9202235939475759,0.9400763271258258,2533,0.9356748224151539,0.9261208614010554,0.9452287834292523,2533,-0.0055248618784530246,49,54,57
HumanOmni5Exome-4v1_A-b37,0.9771112865035517,0.9712873959807922,0.9829351770263113,2533,0.983820047355959,0.9789067058273754,0.9887333888845425,2533,-0.006708760852407236,10,10,58
HumanHap550v3_A-b37,0.9707971586424625,0.9642401267050543,0.9773541905798707,2533,0.9775059194948698,0.9717312874477062,0.9832805515420333,2533,-0.006708760852407236,21,22,59
Human1Mv1_C-b37,0.9704025256511445,0.9638026799587727,0.9770023713435163,2533,0.9775059194948698,0.9717312874477062,0.9832805515420333,2533,-0.00710339384372527,22,23,60
HumanHap550-2v3_B-b37,0.9700078926598263,0.9633655447215604,0.9766502405980922,2533,0.9775059194948698,0.9717312874477062,0.9832805515420333,2533,-0.007498026835043414,23,24,61
HumanHap650Yv3_A-b37,0.9700078926598263,0.9633655447215604,0.9766502405980922,2533,0.9775059194948698,0.9717312874477062,0.9832805515420333,2533,-0.007498026835043414,24,25,62
HumanCoreExome-12-v1-1-C-b37,0.9715864246250987,0.9651159795041543,0.9780568697460431,2533,0.9798737174427782,0.9744048507989396,0.9853425840866168,2533,-0.008287292817679481,15,15,63
HumanCoreExome-12v1-1_B-b37,0.9715864246250987,0.9651159795041543,0.9780568697460431,2533,0.9798737174427782,0.9744048507989396,0.9853425840866168,2533,-0.008287292817679481,16,16,64
InfiniumCore-24v1-1_A1-b37,0.9238358326756116,0.9135057630924405,0.9341659022587828,2533,0.9321231254932912,0.9223275928626771,0.9419186581239054,2533,-0.008287292817679592,60,57,65
humancoreexome-12v1-1_a-b37,0.9711917916337806,0.9646778911027467,0.9777056921648144,2533,0.9798737174427782,0.9744048507989396,0.9853425840866168,2533,-0.008681925808997626,18,17,66
PsychChip_15048346_B-b37,0.9711917916337806,0.9646778911027467,0.9777056921648144,2533,0.9798737174427782,0.9744048507989396,0.9853425840866168,2533,-0.008681925808997626,20,18,67
InfiniumCoreExome-24v1-2_A1-b37,0.9743488555643252,0.9681922531420383,0.980505457986612,2533,0.9834254143646409,0.9784535124792014,0.9883973162500804,2533,-0.00907655880031577,13,11,68
HumanOmni5Exome-4v1-1_A-b37,0.9747434885556433,0.9686331911487592,0.9808537859625274,2533,0.9846093133385951,0.9798153858133338,0.9894032408638564,2533,-0.009865824782951838,12,9,69
InfiniumPsychArray-24v1-2_A1-b37,0.9672454617205999,0.9603138442542105,0.9741770791869893,2533,0.9794790844514601,0.9739579738657703,0.98500019503715,2533,-0.01223362273086026,25,19,70
InfiniumPsychArray-24v1-2_A2-b37,0.9672454617205999,0.9603138442542105,0.9741770791869893,2533,0.9794790844514601,0.9739579738657703,0.98500019503715,2533,-0.01223362273086026,26,20,71
InfiniumOmniExpressExome-8v1-3_A-b37,0.8820047355958959,0.8694415943224574,0.8945678768693344,2533,0.8946329913180742,0.8826764580569688,0.9065895245791795,2533,-0.012628255722178294,78,81,72
HumanOmni5-4-v1-0-D-b37,0.9664561957379637,0.9594444244614563,0.9734679670144711,2533,0.9814522494080505,0.9761979997192571,0.9867064990968439,2533,-0.014996053670086829,27,12,73
HumanOmni5-4v1_B-b37,0.9664561957379637,0.9594444244614563,0.9734679670144711,2533,0.9814522494080505,0.9761979997192571,0.9867064990968439,2533,-0.014996053670086829,28,13,74
humanomni5-4v1_c-b37,0.9664561957379637,0.9594444244614563,0.9734679670144711,2533,0.9814522494080505,0.9761979997192571,0.9867064990968439,2533,-0.014996053670086829,29,14,75
InfiniumOmni2-5-8v1-3_A1-b37,0.9419889502762431,0.932885442606213,0.9510924579462732,2533,0.9581689029202841,0.9503723764196076,0.9659654294209606,2533,-0.01617995264404104,43,34,76
HumanCore-12-v1-0-B-b37,0.9187056037884768,0.9080629732995646,0.9293482342773889,2533,0.93646408839779,0.9269649176826862,0.9459632591128939,2533,-0.017758484609313285,65,50,77
humancore-12v1-0_a-b37,0.9187056037884768,0.9080629732995646,0.9293482342773889,2533,0.93646408839779,0.9269649176826862,0.9459632591128939,2533,-0.017758484609313285,66,51,78
humancore-24-v1-0-manifest-file-a-b37,0.9194948697711128,0.9088994801919364,0.9300902593502892,2533,0.9372533543804262,0.9278093918630177,0.9466973168978348,2533,-0.017758484609313396,63,49,79
Human660W-Quad_v1_C-b37,0.930544593528019,0.9206442076990241,0.9404449793570139,2533,0.9542225730071034,0.946083385972893,0.9623617600413139,2533,-0.023677979479084454,45,35,80
human660w-quad_v1_h-b37,0.930544593528019,0.9206442076990241,0.9404449793570139,2533,0.9542225730071034,0.946083385972893,0.9623617600413139,2533,-0.023677979479084454,46,36,81
Human670-QuadCustom_v1_A-b37,0.930544593528019,0.9206442076990241,0.9404449793570139,2533,0.9542225730071034,0.946083385972893,0.9623617600413139,2533,-0.023677979479084454,47,37,82
Human1-2M-DuoCustom_v1_A-b37,0.9281767955801105,0.9181218844079793,0.9382317067522417,2533,0.9542225730071034,0.946083385972893,0.9623617600413139,2533,-0.02604577742699299,50,38,83
Human660W-Quad_v1_A-b37,0.9281767955801105,0.9181218844079793,0.9382317067522417,2533,0.9542225730071034,0.946083385972893,0.9623617600413139,2533,-0.02604577742699299,51,39,84
Human1M-Duov3_B-b37,0.9277821625887924,0.9177018094904225,0.9378625156871624,2533,0.9542225730071034,0.946083385972893,0.9623617600413139,2533,-0.026440410418311022,52,40,85
Human1M-Duov3_C-b37,0.9277821625887924,0.9177018094904225,0.9378625156871624,2533,0.9542225730071034,0.946083385972893,0.9623617600413139,2533,-0.026440410418311022,53,41,86
human1m-duov3_h-b37,0.9277821625887924,0.9177018094904225,0.9378625156871624,2533,0.9542225730071034,0.946083385972893,0.9623617600413139,2533,-0.026440410418311022,54,42,87
Human610-Quadv1_B-b37,0.9273875295974744,0.9172818219957711,0.9374932371991777,2533,0.9542225730071034,0.946083385972893,0.9623617600413139,2533,-0.026835043409629056,55,43,88
human610-quadv1_h-b37,0.9273875295974744,0.9172818219957711,0.9374932371991777,2533,0.9542225730071034,0.946083385972893,0.9623617600413139,2533,-0.026835043409629056,56,44,89
HumanOmni2-5-8-v1-0-D-b37,0.9427782162588793,0.9337330623391205,0.951823370178638,2533,0.9731649565903709,0.9668717081325116,0.9794582050482303,2533,-0.03038674033149169,40,27,90
HumanOmni2.5-8v1_A-b37,0.9427782162588793,0.9337330623391205,0.951823370178638,2533,0.9731649565903709,0.9668717081325116,0.9794582050482303,2533,-0.03038674033149169,41,28,91
HumanOmni2.5-8v1_C-b37,0.9427782162588793,0.9337330623391205,0.951823370178638,2533,0.9731649565903709,0.9668717081325116,0.9794582050482303,2533,-0.03038674033149169,42,29,92
NeuroX_15036164_A-b37,0.8816101026045777,0.8690287858272037,0.8941914193819518,2533,0.9119968429360694,0.9009642831436758,0.923029402728463,2533,-0.03038674033149169,79,66,93
HumanExome-12v1-1_A-b37,0.8812154696132597,0.8686160222966575,0.8938149169298619,2533,0.9119968429360694,0.9009642831436758,0.923029402728463,2533,-0.030781373322809724,80,67,94
OmniExpressExome-8v1-1_A-b37,0.8808208366219415,0.8682033035369848,0.8934383697068983,2533,0.9119968429360694,0.9009642831436758,0.923029402728463,2533,-0.03117600631412787,81,68,95
OmniExpressExome-8v1-1_B-b37,0.8808208366219415,0.8682033035369848,0.8934383697068983,2533,0.9119968429360694,0.9009642831436758,0.923029402728463,2533,-0.03117600631412787,82,69,96
HumanOmniExpressExome-8-v1-1-C-b37,0.8796369376479873,0.86696541396857,0.8923084613274047,2533,0.9119968429360694,0.9009642831436758,0.923029402728463,2533,-0.03235990528808208,84,70,97
HumanOmni2.5-4v1_D-b37,0.8721389108129439,0.8591344446937715,0.8851433769321163,2533,0.9155485398579322,0.9047198786905899,0.9263772010252744,2533,-0.04340962904498824,85,62,98
HumanOmni2.5-4v1_H-b37,0.8721389108129439,0.8591344446937715,0.8851433769321163,2533,0.9155485398579322,0.9047198786905899,0.9263772010252744,2533,-0.04340962904498824,86,63,99
HumanOmni1S-8v1_H-b37,0.8701657458563536,0.8570761532063582,0.8832553385063491,2533,0.9155485398579322,0.9047198786905899,0.9263772010252744,2533,-0.04538279400157852,87,64,100
HumanOmni2.5-4v1_B-b37,0.8701657458563536,0.8570761532063582,0.8832553385063491,2533,0.9155485398579322,0.9047198786905899,0.9263772010252744,2533,-0.04538279400157852,88,65,101
