key,HaploGrep_Macrohaplogroup_truth,emmean,SE,df,lower.CL,upper.CL
HaploGrep_imputed_cutoff_macro_match,K,0.9506439849627798,0.0036830770439592896,511839,0.9434252695339694,0.9578627003915902
HaploGrep_typed_macro_match,K,0.9427747686805038,0.003683077043959502,511839,0.935556053251693,0.9499934841093146
HaploGrep_imputed_cutoff_macro_match,L,0.9324771398124867,0.0010762533318258041,511839,0.9303677170556367,0.9345865625693367
HaploGrep_typed_macro_match,L,0.9246079235302107,0.0010762533318265353,511839,0.9224985007733593,0.9267173462870621
HaploGrep_imputed_cutoff_macro_match,L0,0.9978192907258996,0.005191388385131288,511839,0.9876443324001816,1.0079942490516176
HaploGrep_typed_macro_match,L0,0.9899500744436236,0.0051913883851314405,511839,0.9797751161179054,1.0001250327693418
HaploGrep_imputed_cutoff_macro_match,L1,0.9569652770617617,0.003358531615122282,511839,0.9503826604890255,0.9635478936344979
HaploGrep_typed_macro_match,L1,0.9490960607794857,0.0033585316151225155,511839,0.942513444206749,0.9556786773522224
HaploGrep_imputed_cutoff_macro_match,L2,0.9082885050704529,0.0024524041222371297,511839,0.9034818699489023,0.9130951401920034
HaploGrep_typed_macro_match,L2,0.9004192887881769,0.0024524041222374502,511839,0.8956126536666257,0.9052259239097281
HaploGrep_imputed_cutoff_macro_match,L3,0.9081425289343127,0.002422481954680013,511839,0.903394540322197,0.9128905175464284
HaploGrep_typed_macro_match,L3,0.9002733126520367,0.002422481954680342,511839,0.8955253240399204,0.905021301264153
HaploGrep_imputed_cutoff_macro_match,L4,0.7836375784388956,0.010675016764160735,511839,0.7627148805701001,0.8045602763076911
HaploGrep_typed_macro_match,L4,0.7757683621566196,0.010675016764160808,511839,0.7548456642878238,0.7966910600254153
HaploGrep_imputed_cutoff_macro_match,L5,0.7366078754677589,0.01509080402670137,511839,0.707030373134656,0.7661853778008617
HaploGrep_typed_macro_match,L5,0.7287386591854829,0.015090804026701422,511839,0.6991611568523799,0.7583161615185858
HaploGrep_imputed_cutoff_macro_match,M,0.9288499113432771,0.0011776145965680543,511839,0.9265418236883146,0.9311579989982396
HaploGrep_typed_macro_match,M,0.9209806950610011,0.0011776145965687204,511839,0.9186726074060373,0.9232887827159649
HaploGrep_imputed_cutoff_macro_match,N,0.8083231551047011,0.0035326688493566936,511839,0.801399235017405,0.8152470751919972
HaploGrep_typed_macro_match,N,0.8004539388224251,0.0035326688493569165,511839,0.7935300187351285,0.8073778589097217
HaploGrep_imputed_cutoff_macro_match,R,0.6846488334097075,0.0020172730450923274,511839,0.6806950415446649,0.6886026252747501
HaploGrep_typed_macro_match,R,0.6767796171274315,0.0020172730450927156,511839,0.6728258252623882,0.6807334089924748
HaploGrep_imputed_cutoff_macro_match,T,0.9752040565150817,0.002882097183690687,511839,0.9695552364771295,0.9808528765530339
HaploGrep_typed_macro_match,T,0.9673348402328057,0.0028820971836909675,511839,0.9616860201948529,0.9729836602707584
HaploGrep_imputed_cutoff_macro_match,U,0.966459892928179,0.0016206182767334316,511839,0.9632835319618356,0.9696362538945225
HaploGrep_typed_macro_match,U,0.958590676645903,0.0016206182767339124,511839,0.9554143156795587,0.9617670376122474
HaploGrep_imputed_cutoff_macro_match,V,0.5720039150732852,0.005350111725202519,511839,0.5615178639818691,0.5824899661647013
HaploGrep_typed_macro_match,V,0.5641346987910092,0.005350111725202666,511839,0.5536486476995928,0.5746207498824256
HaploGrep_imputed_cutoff_macro_match,W,0.8195781724996366,0.004287635826313156,511839,0.8111745408288599,0.8279818041704133
HaploGrep_typed_macro_match,W,0.8117089562173606,0.00428763582631334,511839,0.8033053245465835,0.8201125878881377
HaploGrep_imputed_cutoff_macro_match,X,0.7825124659283232,0.006446148457272728,511839,0.769878217236394,0.7951467146202524
HaploGrep_typed_macro_match,X,0.7746432496460472,0.0064461484572728486,511839,0.7620090009541178,0.7872774983379767
HaploGrep_imputed_cutoff_macro_match,Y,0.8900732220032498,0.015090804026705675,511839,0.8604957196701385,0.9196507243363611
HaploGrep_typed_macro_match,Y,0.8822040057209738,0.015090804026705727,511839,0.8526265033878624,0.9117815080540852
HaploGrep_imputed_cutoff_macro_match,Z,0.6400732220036469,0.007554322688801774,511839,0.6252669865931479,0.6548794574141459
HaploGrep_typed_macro_match,Z,0.6322040057213709,0.007554322688801879,511839,0.6173977703108717,0.6470102411318701
