array,mcc_mean,mcc_lower,mcc_upper,mcc_df,mcc_rank
GenomeWideSNP_6.na33.annot-b37,0.880327489134231,0.8377067061856104,0.9229482720828516,127,61
humancore-24-v1-0-manifest-file-a-b37,0.8788124211817079,0.8356626445893779,0.9219621977740379,124,62
InfiniumCore-24v1-1_A1-b37,0.8775894845316075,0.8311422112638301,0.9240367577993848,120,63
HumanCore-12-v1-0-B-b37,0.8753295811165462,0.8313118949800624,0.9193472672530301,123,64
humancore-12v1-0_a-b37,0.8753295811165462,0.8313118949800624,0.9193472672530301,123,65
Consortium-OncoArray_15047405_A-b37,0.8746383824751852,0.8269223702648264,0.922354394685544,110,66
GSAMD-24v1-0_20011747_A1-b37,0.869532691704978,0.8142634658746007,0.9248019175353553,88,67
GSCA-24v1-0_20010441_A1-b37,0.8687141075764078,0.8132589608961384,0.9241692542566772,88,68
GSA-24v1-0_A1-b37,0.8680501086561709,0.8122265277593352,0.9238736895530066,87,69
GSA-24v1-0_A2-b37,0.8680501086561709,0.8122265277593352,0.9238736895530066,87,70
OncoArray-500K-C-b37,0.8678373880348363,0.8189603623258602,0.9167144137438125,109,71
OncoArray-500K_B-b37,0.8677499473101188,0.8188706901557405,0.916629204464497,109,72
GSA-24v1-0_A6-b37,0.8673014585602279,0.8113089271237859,0.9232939899966699,87,73
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,0.859805077093154,0.8120829492357725,0.9075272049505355,127,74
InfiniumOmni2-5-8v1-3_A1-b37,0.8492888877358443,0.8017187592759853,0.8968590161957033,136,75
BDCHP-1X10-HUMANHAP550_11218540_C-b37,0.783854484319061,0.7160573873319522,0.8516515813061698,95,76
Human660W-Quad_v1_A-b37,0.7733752665237809,0.6924186506722035,0.8543318823753582,71,77
Human1-2M-DuoCustom_v1_A-b37,0.767313431260617,0.6864654538736378,0.8481614086475963,72,78
Human1M-Duov3_B-b37,0.7667926054677512,0.684029677304654,0.8495555336308483,69,79
Human1M-Duov3_C-b37,0.7667926054677512,0.684029677304654,0.8495555336308483,69,80
human1m-duov3_h-b37,0.7667926054677512,0.684029677304654,0.8495555336308483,69,81
HumanHap650Yv3_A-b37,0.7649141105401909,0.6950814615408678,0.8347467595395139,86,82
HumanHap550-2v3_B-b37,0.7627622922543834,0.6921196543123265,0.8334049301964404,86,83
Human610-Quadv1_B-b37,0.7581548374459789,0.6749493284179428,0.841360346474015,70,84
human610-quadv1_h-b37,0.7581548374459789,0.6749493284179428,0.841360346474015,70,85
HumanHap550v3_A-b37,0.7565845512167538,0.6856321393323572,0.8275369631011504,87,86
HumanOmni1S-8v1_H-b37,0.756170589975383,0.6629462158129656,0.8493949641378004,51,87
HumanOmni2.5-4v1_B-b37,0.756170589975383,0.6629462158129656,0.8493949641378004,51,88
HumanOmni2.5-4v1_D-b37,0.7561338093514031,0.6630718316216946,0.8491957870811115,51,89
HumanOmni2.5-4v1_H-b37,0.7561338093514031,0.6630718316216946,0.8491957870811115,51,90
Human1Mv1_C-b37,0.7560809695253112,0.6850165855682149,0.8271453534824076,87,91
Human660W-Quad_v1_C-b37,0.7546979243650843,0.6719800557725406,0.837415792957628,73,92
human660w-quad_v1_h-b37,0.7546979243650843,0.6719800557725406,0.837415792957628,73,93
Human670-QuadCustom_v1_A-b37,0.7546979243650843,0.6719800557725406,0.837415792957628,73,94
Cardio-Metabo_Chip_11395247_A-b37,0.6160912937329344,0.5153086186597303,0.7168739688061384,55,95
cardio-metabo_chip_11395247_c-b37,0.6160912937329344,0.5153086186597303,0.7168739688061384,55,96
humanomni1-quad_v1-0-multi_h-b37,0.5762928434318465,0.4271875207900425,0.7253981660736505,32,97
HumanOmni1-Quad_v1-0_B-b37,0.5706318729605555,0.4120222195414295,0.7292415263796815,30,98
HumanOmni1-Quad_v1-0_C-b37,0.5706318729605555,0.4120222195414295,0.7292415263796815,30,99
HumanOmni1-Quad_v1-0_H-b37,0.5527978015485382,0.39528545508475144,0.710310148012325,31,100
HumanOmni2.5S-8v1_B-b37,0.4931831539378669,0.3591227030116292,0.6272436048641046,38,101
