Sequence,QC_Pass
AP008325.1,FALSE
AP008326.1,TRUE
AP008327.1,TRUE
AP008328.1,TRUE
AP008329.1,TRUE
AP008330.1,TRUE
AP008331.1,TRUE
AP008332.1,TRUE
AP008333.1,TRUE
AP008334.1,TRUE
AP008335.1,FALSE
AP008336.1,TRUE
AP008337.1,TRUE
AP008338.1,TRUE
AP008339.1,TRUE
AP008340.1,TRUE
AP008341.1,TRUE
AP008342.1,TRUE
AP008343.1,TRUE
AP008344.1,TRUE
AP008345.1,TRUE
AP008346.1,FALSE
AP008347.1,TRUE
AP008348.1,TRUE
AP008349.1,TRUE
AP008350.1,TRUE
AP008351.1,TRUE
AP008352.1,TRUE
AP008353.1,TRUE
AP008354.1,TRUE
AP008355.1,FALSE
AP008356.1,TRUE
AP008357.1,TRUE
AP008358.1,TRUE
AP008359.1,TRUE
AP008360.1,TRUE
AP008361.1,TRUE
AP008362.1,TRUE
AP008363.1,TRUE
AP008364.1,TRUE
AP008365.1,TRUE
AP008366.1,TRUE
AP008367.1,TRUE
AP008368.1,TRUE
AP008369.1,TRUE
AP008370.1,TRUE
AP008371.1,FALSE
AP008372.1,TRUE
AP008373.1,TRUE
AP008374.1,TRUE
AP008375.1,TRUE
AP008376.1,TRUE
AP008377.1,TRUE
AP008378.1,TRUE
AP008379.1,TRUE
AP008380.1,TRUE
AP008381.1,TRUE
AP008382.1,TRUE
AP008383.1,TRUE
AP008384.1,FALSE
AP008385.1,TRUE
AP008386.1,TRUE
AP008387.1,TRUE
AP008388.1,TRUE
AP008389.1,TRUE
AP008390.1,TRUE
AP008391.1,TRUE
AP008392.1,TRUE
AP008393.1,FALSE
AP008394.1,TRUE
AP008395.1,TRUE
AP008396.1,TRUE
AP008397.1,TRUE
AP008398.1,TRUE
AP008399.1,TRUE
AP008400.1,TRUE
AP008401.1,TRUE
AP008402.1,TRUE
AP008403.1,FALSE
AP008404.1,TRUE
AP008405.1,TRUE
AP008406.1,TRUE
AP008407.1,TRUE
AP008408.1,TRUE
AP008409.1,TRUE
AP008410.1,TRUE
AP008411.1,TRUE
AP008412.1,FALSE
AP008413.1,TRUE
AP008414.1,TRUE
AP008415.1,FALSE
AP008416.1,TRUE
AP008417.1,TRUE
AP008418.1,TRUE
AP008419.1,TRUE
AP008420.1,TRUE
AP008421.1,TRUE
AP008422.1,TRUE
AP008423.1,FALSE
AP008424.1,TRUE
AP008425.1,FALSE
AP008426.1,TRUE
AP008427.1,TRUE
AP008428.1,TRUE
AP008429.1,TRUE
AP008430.1,TRUE
AP008431.1,TRUE
AP008432.1,TRUE
AP008433.1,TRUE
AP008434.1,TRUE
AP008435.1,TRUE
AP008436.1,FALSE
AP008437.1,TRUE
AP008438.1,TRUE
AP008439.1,TRUE
AP008440.1,TRUE
AP008441.1,TRUE
AP008442.1,TRUE
AP008443.1,TRUE
AP008444.1,TRUE
AP008445.1,TRUE
AP008446.1,TRUE
AP008447.1,TRUE
AP008448.1,TRUE
AP008449.1,TRUE
AP008450.1,FALSE
AP008451.1,FALSE
AP008452.1,TRUE
AP008453.1,TRUE
AP008454.1,TRUE
AP008455.1,TRUE
AP008456.1,TRUE
AP008457.1,TRUE
AP008458.1,TRUE
AP008459.1,TRUE
AP008460.1,TRUE
AP008461.1,TRUE
AP008462.1,TRUE
AP008463.1,TRUE
AP008464.1,TRUE
AP008465.1,FALSE
AP008466.1,TRUE
AP008467.1,TRUE
AP008468.1,TRUE
AP008469.1,TRUE
AP008470.1,FALSE
AP008471.1,TRUE
AP008472.1,FALSE
AP008473.1,TRUE
AP008474.1,TRUE
AP008475.1,TRUE
AP008476.1,TRUE
AP008477.1,TRUE
AP008478.1,TRUE
AP008479.1,TRUE
AP008480.1,TRUE
AP008481.1,TRUE
AP008482.1,FALSE
AP008483.1,TRUE
AP008484.1,TRUE
AP008485.1,TRUE
AP008486.1,TRUE
AP008487.1,TRUE
AP008488.1,FALSE
AP008489.1,TRUE
AP008490.1,TRUE
AP008491.1,FALSE
AP008492.1,FALSE
AP008493.1,TRUE
AP008494.1,TRUE
AP008495.1,TRUE
AP008496.1,TRUE
AP008497.1,TRUE
AP008498.1,TRUE
AP008499.1,TRUE
AP008500.1,TRUE
AP008501.1,TRUE
AP008502.1,TRUE
AP008503.1,TRUE
AP008504.1,TRUE
AP008505.1,TRUE
AP008506.1,TRUE
AP008507.1,TRUE
AP008508.1,TRUE
AP008509.1,TRUE
AP008510.1,TRUE
AP008511.1,TRUE
AP008512.1,FALSE
AP008513.1,TRUE
AP008514.1,TRUE
AP008515.1,TRUE
AP008516.1,FALSE
AP008517.1,TRUE
AP008518.1,FALSE
AP008519.1,TRUE
AP008520.1,TRUE
AP008521.1,FALSE
AP008522.1,TRUE
AP008523.1,TRUE
AP008524.1,TRUE
AP008525.1,TRUE
AP008526.1,TRUE
AP008527.1,TRUE
AP008528.1,TRUE
AP008529.1,TRUE
AP008530.1,TRUE
AP008531.1,TRUE
AP008532.1,TRUE
AP008533.1,TRUE
AP008534.1,TRUE
AP008535.1,TRUE
AP008536.1,TRUE
AP008537.1,TRUE
AP008538.1,TRUE
AP008539.1,TRUE
AP008540.1,FALSE
AP008541.1,TRUE
AP008542.1,TRUE
AP008543.1,TRUE
AP008544.1,TRUE
AP008545.1,TRUE
AP008546.1,FALSE
AP008547.1,TRUE
AP008548.1,TRUE
AP008549.1,TRUE
AP008550.1,FALSE
AP008551.1,TRUE
AP008552.1,FALSE
AP008553.1,TRUE
AP008554.1,TRUE
AP008555.1,TRUE
AP008556.1,TRUE
AP008557.1,TRUE
AP008558.1,TRUE
AP008559.1,TRUE
AP008560.1,TRUE
AP008561.1,TRUE
AP008562.1,TRUE
AP008563.1,FALSE
AP008564.1,TRUE
AP008565.1,TRUE
AP008566.1,FALSE
AP008567.1,FALSE
AP008568.1,TRUE
AP008569.1,TRUE
AP008570.1,FALSE
AP008571.1,TRUE
AP008572.1,TRUE
AP008573.1,TRUE
AP008574.1,TRUE
AP008575.1,TRUE
AP008576.1,TRUE
AP008577.1,TRUE
AP008578.1,TRUE
AP008579.1,TRUE
AP008580.1,FALSE
AP008581.1,TRUE
AP008582.1,TRUE
AP008583.1,TRUE
AP008584.1,FALSE
AP008585.1,TRUE
AP008586.1,TRUE
AP008587.1,TRUE
AP008588.1,TRUE
AP008589.1,TRUE
AP008590.1,TRUE
AP008591.1,TRUE
AP008592.1,TRUE
AP008593.1,TRUE
AP008594.1,FALSE
AP008595.1,FALSE
AP008596.1,TRUE
AP008597.1,FALSE
AP008598.1,TRUE
AP008599.1,TRUE
AP008600.1,TRUE
AP008601.1,FALSE
AP008602.1,TRUE
AP008603.1,FALSE
AP008604.1,FALSE
AP008605.1,TRUE
AP008606.1,TRUE
AP008607.1,TRUE
AP008608.1,TRUE
AP008609.1,TRUE
AP008610.1,TRUE
AP008611.1,TRUE
AP008612.1,TRUE
AP008613.1,TRUE
AP008614.1,TRUE
AP008615.1,TRUE
AP008616.1,TRUE
AP008617.1,TRUE
AP008618.1,TRUE
AP008619.1,TRUE
AP008620.1,TRUE
AP008621.1,TRUE
AP008622.1,TRUE
AP008623.1,TRUE
AP008624.1,TRUE
AP008625.1,TRUE
AP008626.1,TRUE
AP008627.1,TRUE
AP008628.1,TRUE
AP008629.1,TRUE
AP008630.1,TRUE
AP008631.1,FALSE
AP008632.1,TRUE
AP008633.1,TRUE
AP008634.1,TRUE
AP008635.1,TRUE
AP008636.1,TRUE
AP008637.1,TRUE
AP008638.1,TRUE
AP008639.1,TRUE
AP008640.1,FALSE
AP008641.1,TRUE
AP008642.1,TRUE
AP008643.1,TRUE
AP008644.1,TRUE
AP008645.1,TRUE
AP008646.1,TRUE
AP008647.1,TRUE
AP008648.1,TRUE
AP008649.1,TRUE
AP008650.1,FALSE
AP008651.1,TRUE
AP008652.1,TRUE
AP008653.1,TRUE
AP008654.1,FALSE
AP008655.1,TRUE
AP008656.1,TRUE
AP008657.1,TRUE
AP008658.1,TRUE
AP008659.1,TRUE
AP008660.1,TRUE
AP008661.1,FALSE
AP008662.1,TRUE
AP008663.1,TRUE
AP008664.1,TRUE
AP008665.1,FALSE
AP008666.1,TRUE
AP008667.1,TRUE
AP008668.1,TRUE
AP008669.1,FALSE
AP008670.1,TRUE
AP008671.1,TRUE
AP008672.1,TRUE
AP008673.1,TRUE
AP008674.1,TRUE
AP008675.1,TRUE
AP008676.1,TRUE
AP008677.1,TRUE
AP008678.1,TRUE
AP008679.1,TRUE
AP008680.1,TRUE
AP008681.1,TRUE
AP008682.1,FALSE
AP008683.1,TRUE
AP008684.1,TRUE
AP008685.1,TRUE
AP008686.1,TRUE
AP008687.1,FALSE
AP008688.1,FALSE
AP008689.1,TRUE
AP008690.1,TRUE
AP008691.1,TRUE
AP008692.1,TRUE
AP008693.1,TRUE
AP008694.1,TRUE
AP008695.1,TRUE
AP008696.1,TRUE
AP008697.1,TRUE
AP008698.1,TRUE
AP008699.1,TRUE
AP008700.1,TRUE
AP008701.1,TRUE
AP008702.1,TRUE
AP008703.1,TRUE
AP008704.1,TRUE
AP008705.1,TRUE
AP008706.1,TRUE
AP008707.1,TRUE
AP008708.1,FALSE
AP008709.1,TRUE
AP008710.1,TRUE
AP008711.1,TRUE
AP008712.1,FALSE
AP008713.1,TRUE
AP008714.1,TRUE
AP008715.1,TRUE
AP008716.1,TRUE
AP008717.1,TRUE
AP008718.1,TRUE
AP008719.1,TRUE
AP008720.1,TRUE
AP008721.1,TRUE
AP008722.1,TRUE
AP008723.1,TRUE
AP008724.1,TRUE
AP008725.1,TRUE
AP008726.1,TRUE
AP008727.1,TRUE
AP008728.1,TRUE
AP008729.1,TRUE
AP008730.1,TRUE
AP008731.1,TRUE
AP008732.1,TRUE
AP008733.1,TRUE
AP008734.1,TRUE
AP008735.1,TRUE
AP008736.1,TRUE
AP008737.1,FALSE
AP008738.1,TRUE
AP008739.1,TRUE
AP008740.1,TRUE
AP008741.1,TRUE
AP008742.1,TRUE
AP008743.1,TRUE
AP008744.1,TRUE
AP008745.1,TRUE
AP008746.1,TRUE
AP008747.1,TRUE
AP008748.1,TRUE
AP008749.1,TRUE
AP008750.1,TRUE
AP008751.1,FALSE
AP008752.1,TRUE
AP008753.1,TRUE
AP008754.1,TRUE
AP008755.1,TRUE
AP008756.1,TRUE
AP008757.1,TRUE
AP008758.1,TRUE
AP008759.1,TRUE
AP008760.1,TRUE
AP008761.1,TRUE
AP008762.1,TRUE
AP008763.1,TRUE
AP008764.1,TRUE
AP008765.1,TRUE
AP008766.1,TRUE
AP008767.1,TRUE
AP008768.1,TRUE
AP008769.1,TRUE
AP008770.1,TRUE
AP008771.1,TRUE
AP008772.1,TRUE
AP008773.1,TRUE
AP008774.1,TRUE
AP008775.1,TRUE
AP008776.1,TRUE
AP008777.1,TRUE
AP008778.1,TRUE
AP008779.1,TRUE
AP008780.1,TRUE
AP008781.1,FALSE
AP008782.1,TRUE
AP008783.1,TRUE
AP008784.1,TRUE
AP008785.1,TRUE
AP008786.1,TRUE
AP008787.1,TRUE
AP008788.1,FALSE
AP008789.1,TRUE
AP008790.1,TRUE
AP008791.1,TRUE
AP008792.1,TRUE
AP008793.1,FALSE
AP008794.1,TRUE
AP008795.1,TRUE
AP008796.1,TRUE
AP008797.1,TRUE
AP008798.1,TRUE
AP008799.1,TRUE
AP008800.1,TRUE
AP008801.1,TRUE
AP008802.1,FALSE
AP008803.1,TRUE
AP008804.1,TRUE
AP008805.1,TRUE
AP008806.1,TRUE
AP008807.1,TRUE
AP008808.1,TRUE
AP008809.1,TRUE
AP008810.1,TRUE
AP008811.1,TRUE
AP008812.1,TRUE
AP008813.1,TRUE
AP008814.1,TRUE
AP008815.1,TRUE
AP008816.1,TRUE
AP008817.1,TRUE
AP008818.1,TRUE
AP008819.1,TRUE
AP008820.1,TRUE
AP008821.1,TRUE
AP008822.1,TRUE
AP008823.1,TRUE
AP008824.1,TRUE
AP008825.1,TRUE
AP008826.1,TRUE
AP008827.1,FALSE
AP008828.1,TRUE
AP008829.1,TRUE
AP008830.1,TRUE
AP008831.1,FALSE
AP008832.1,TRUE
AP008833.1,TRUE
AP008834.1,TRUE
AP008835.1,TRUE
AP008836.1,TRUE
AP008837.1,TRUE
AP008838.1,TRUE
AP008839.1,TRUE
AP008840.1,TRUE
AP008841.1,TRUE
AP008842.1,FALSE
AP008843.1,TRUE
AP008844.1,TRUE
AP008845.1,TRUE
AP008846.1,FALSE
AP008847.1,FALSE
AP008848.1,FALSE
AP008849.1,TRUE
AP008850.1,TRUE
AP008851.1,TRUE
AP008852.1,FALSE
AP008853.1,TRUE
AP008854.1,TRUE
AP008855.1,TRUE
AP008856.1,FALSE
AP008857.1,TRUE
AP008858.1,TRUE
AP008859.1,TRUE
AP008860.1,TRUE
AP008861.1,TRUE
AP008862.1,TRUE
AP008863.1,TRUE
AP008864.1,TRUE
AP008865.1,TRUE
AP008866.1,TRUE
AP008867.1,TRUE
AP008868.1,TRUE
AP008869.1,TRUE
AP008870.1,TRUE
AP008871.1,TRUE
AP008872.1,TRUE
AP008873.1,TRUE
AP008874.1,TRUE
AP008875.1,FALSE
AP008876.1,TRUE
AP008877.1,TRUE
AP008878.1,TRUE
AP008879.1,FALSE
AP008880.1,TRUE
AP008881.1,TRUE
AP008882.1,TRUE
AP008883.1,TRUE
AP008884.1,TRUE
AP008885.1,TRUE
AP008886.1,TRUE
AP008887.1,TRUE
AP008888.1,TRUE
AP008889.1,FALSE
AP008890.1,TRUE
AP008891.1,TRUE
AP008892.1,TRUE
AP008893.1,TRUE
AP008894.1,TRUE
AP008895.1,TRUE
AP008896.1,TRUE
AP008897.1,TRUE
AP008898.1,FALSE
AP008899.1,FALSE
AP008900.1,FALSE
AP008901.1,TRUE
AP008902.1,TRUE
AP008903.1,TRUE
AP008904.1,FALSE
AP008905.1,TRUE
AP008906.1,TRUE
AP008907.1,TRUE
AP008908.1,TRUE
AP008909.1,TRUE
AP008910.1,FALSE
AP008911.1,TRUE
AP008912.1,FALSE
AP008913.1,TRUE
AP008914.1,FALSE
AP008915.1,TRUE
AP008916.1,TRUE
AP008917.1,FALSE
AP008918.1,TRUE
AP008919.1,TRUE
AP008920.1,FALSE
AP009419.1,TRUE
AP009420.1,TRUE
AP009421.1,TRUE
AP009422.1,TRUE
AP009423.1,TRUE
AP009424.1,TRUE
AP009425.1,FALSE
AP009426.1,TRUE
AP009427.1,TRUE
AP009428.1,TRUE
AP009429.1,TRUE
AP009430.1,TRUE
AP009431.1,TRUE
AP009432.1,TRUE
AP009433.1,TRUE
AP009434.1,TRUE
AP009435.1,TRUE
AP009436.1,FALSE
AP009437.1,TRUE
AP009438.1,TRUE
AP009439.1,TRUE
AP009440.1,TRUE
AP009441.1,TRUE
AP009442.1,TRUE
AP009443.1,TRUE
AP009444.1,FALSE
AP009445.1,TRUE
AP009446.1,TRUE
AP009447.1,TRUE
AP009448.1,TRUE
AP009449.1,FALSE
AP009450.1,FALSE
AP009451.1,TRUE
AP009452.1,TRUE
AP009453.1,TRUE
AP009454.1,TRUE
AP009455.1,TRUE
AP009456.1,FALSE
AP009457.1,FALSE
AP009458.1,TRUE
AP009459.1,TRUE
AP009460.1,TRUE
AP009461.1,FALSE
AP009462.1,TRUE
AP009463.1,FALSE
AP009464.1,TRUE
AP009465.1,TRUE
AP009466.1,TRUE
AP009467.1,TRUE
AP009468.1,TRUE
AP009469.1,TRUE
AP009470.1,TRUE
AP009471.1,FALSE
AP009472.1,TRUE
AP009473.1,TRUE
AP009474.1,TRUE
AP009475.1,TRUE
AP010661.1,TRUE
AP010662.1,TRUE
AP010663.1,TRUE
AP010664.1,TRUE
AP010665.1,TRUE
AP010666.1,TRUE
AP010667.1,TRUE
AP010668.1,TRUE
AP010669.1,TRUE
AP010670.1,TRUE
AP010671.1,FALSE
AP010672.1,TRUE
AP010673.1,TRUE
AP010674.1,TRUE
AP010675.1,TRUE
AP010676.1,TRUE
AP010677.1,TRUE
AP010678.1,TRUE
AP010679.1,FALSE
AP010680.1,TRUE
AP010681.1,TRUE
AP010682.1,TRUE
AP010683.1,TRUE
AP010684.1,TRUE
AP010685.1,TRUE
AP010686.1,FALSE
AP010687.1,TRUE
AP010688.1,TRUE
AP010689.1,FALSE
AP010690.1,TRUE
AP010691.1,FALSE
AP010692.1,TRUE
AP010693.1,TRUE
AP010694.1,TRUE
AP010695.1,TRUE
AP010696.1,FALSE
AP010697.1,TRUE
AP010698.1,TRUE
AP010699.1,TRUE
AP010700.1,TRUE
AP010701.1,TRUE
AP010702.1,TRUE
AP010703.1,TRUE
AP010704.1,FALSE
AP010705.1,FALSE
AP010706.1,TRUE
AP010707.1,TRUE
AP010708.1,TRUE
AP010709.1,TRUE
AP010710.1,TRUE
AP010711.1,TRUE
AP010712.1,TRUE
AP010713.1,TRUE
AP010714.1,TRUE
AP010715.1,TRUE
AP010716.1,TRUE
AP010717.1,TRUE
AP010718.1,FALSE
AP010719.1,TRUE
AP010720.1,TRUE
AP010721.1,TRUE
AP010722.1,TRUE
AP010723.1,TRUE
AP010724.1,TRUE
AP010725.1,TRUE
AP010726.1,TRUE
AP010727.1,TRUE
AP010728.1,TRUE
AP010729.1,TRUE
AP010730.1,TRUE
AP010731.1,TRUE
AP010732.1,TRUE
AP010733.1,FALSE
AP010734.1,TRUE
AP010735.1,FALSE
AP010736.1,TRUE
AP010737.1,TRUE
AP010738.1,TRUE
AP010739.1,TRUE
AP010740.1,FALSE
AP010741.1,TRUE
AP010742.1,TRUE
AP010743.1,TRUE
AP010744.1,TRUE
AP010745.1,TRUE
AP010746.1,TRUE
AP010747.1,TRUE
AP010748.1,TRUE
AP010749.1,TRUE
AP010750.1,TRUE
AP010751.1,TRUE
AP010752.1,TRUE
AP010753.1,TRUE
AP010754.1,TRUE
AP010755.1,FALSE
AP010756.1,TRUE
AP010757.1,FALSE
AP010758.1,TRUE
AP010759.1,TRUE
AP010760.1,TRUE
AP010761.1,FALSE
AP010762.1,TRUE
AP010763.1,TRUE
AP010764.1,TRUE
AP010765.1,TRUE
AP010766.1,TRUE
AP010767.1,TRUE
AP010768.1,TRUE
AP010769.1,FALSE
AP010770.1,TRUE
AP010771.1,FALSE
AP010772.1,TRUE
AP010824.1,TRUE
AP010825.1,TRUE
AP010826.1,TRUE
AP010827.1,TRUE
AP010828.1,TRUE
AP010829.1,TRUE
AP010830.1,TRUE
AP010831.1,TRUE
AP010832.1,TRUE
AP010833.1,TRUE
AP010834.1,TRUE
AP010835.1,FALSE
AP010836.1,FALSE
AP010837.1,TRUE
AP010970.1,TRUE
AP010971.1,TRUE
AP010972.1,TRUE
AP010973.1,TRUE
AP010974.1,TRUE
AP010975.1,TRUE
AP010976.1,TRUE
AP010977.1,TRUE
AP010978.1,TRUE
AP010979.1,TRUE
AP010980.1,TRUE
AP010981.1,TRUE
AP010982.1,TRUE
AP010983.1,TRUE
AP010984.1,TRUE
AP010985.1,TRUE
AP010986.1,TRUE
AP010987.1,TRUE
AP010988.1,TRUE
AP010989.1,TRUE
AP010990.1,TRUE
AP010991.1,TRUE
AP010992.1,TRUE
AP010993.1,TRUE
AP010994.1,TRUE
AP010995.1,TRUE
AP010996.1,TRUE
AP010997.1,TRUE
AP010998.1,TRUE
AP010999.1,TRUE
AP011000.1,FALSE
AP011001.1,TRUE
AP011002.1,FALSE
AP011003.1,FALSE
AP011004.1,TRUE
AP011005.1,TRUE
AP011006.1,TRUE
AP011007.1,TRUE
AP011008.1,TRUE
AP011009.1,TRUE
AP011010.1,TRUE
AP011011.1,TRUE
AP011012.1,TRUE
AP011013.1,TRUE
AP011014.1,TRUE
AP011015.1,TRUE
AP011016.1,TRUE
AP011017.1,TRUE
AP011018.1,FALSE
AP011019.1,TRUE
AP011020.1,TRUE
AP011021.1,TRUE
AP011022.1,TRUE
AP011023.1,TRUE
AP011024.1,TRUE
AP011025.1,TRUE
AP011026.1,TRUE
AP011027.1,TRUE
AP011028.1,FALSE
AP011029.1,TRUE
AP011030.1,TRUE
AP011031.1,TRUE
AP011032.1,TRUE
AP011033.1,TRUE
AP011034.1,TRUE
AP011035.1,TRUE
AP011036.1,TRUE
AP011037.1,TRUE
AP011038.1,TRUE
AP011039.1,TRUE
AP011040.1,TRUE
AP011041.1,TRUE
AP011042.1,TRUE
AP011043.1,FALSE
AP011044.1,TRUE
AP011045.1,TRUE
AP011046.1,TRUE
AP011047.1,TRUE
AP011048.1,TRUE
AP011049.1,TRUE
AP011050.1,FALSE
AP011051.1,TRUE
AP011052.1,TRUE
AP011053.1,TRUE
AP011054.1,TRUE
AP011055.1,TRUE
AP011056.1,TRUE
AP011057.1,TRUE
AP011058.1,FALSE
AP011059.1,FALSE
AP012346.1,TRUE
AP012347.1,TRUE
AP012348.1,TRUE
AP012349.1,TRUE
AP012350.1,TRUE
AP012351.1,TRUE
AP012352.1,TRUE
AP012353.1,TRUE
AP012354.1,TRUE
AP012355.1,TRUE
AP012356.1,FALSE
AP012357.1,TRUE
AP012358.1,TRUE
AP012359.1,TRUE
AP012360.1,TRUE
AP012361.1,FALSE
AP012362.1,TRUE
AP012363.1,TRUE
AP012364.1,FALSE
AP012365.1,TRUE
AP012366.1,TRUE
AP012367.1,TRUE
AP012368.1,TRUE
AP012369.1,TRUE
AP012370.1,TRUE
AP012371.1,TRUE
AP012372.1,TRUE
AP012373.1,TRUE
AP012374.1,TRUE
AP012375.1,TRUE
AP012376.1,TRUE
AP012377.1,TRUE
AP012378.1,TRUE
AP012379.1,TRUE
AP012380.1,TRUE
AP012381.1,TRUE
AP012382.1,TRUE
AP012383.1,TRUE
AP012384.1,TRUE
AP012385.1,TRUE
AP012386.1,TRUE
AP012387.1,TRUE
AP012388.1,TRUE
AP012389.1,TRUE
AP012390.1,TRUE
AP012391.1,TRUE
AP012392.1,TRUE
AP012393.1,TRUE
AP012394.1,TRUE
AP012395.1,TRUE
AP012396.1,TRUE
AP012397.1,TRUE
AP012398.1,TRUE
AP012399.1,TRUE
AP012400.1,TRUE
AP012401.1,TRUE
AP012402.1,TRUE
AP012403.1,TRUE
AP012404.1,TRUE
AP012405.1,TRUE
AP012406.1,TRUE
AP012407.1,FALSE
AP012408.1,TRUE
AP012409.1,TRUE
AP012410.1,TRUE
AP012411.1,TRUE
AP012412.1,TRUE
AP012413.1,TRUE
AP012414.1,TRUE
AP012415.1,FALSE
AP012416.1,TRUE
AP012417.1,TRUE
AP012418.1,TRUE
AP012419.1,TRUE
AP012420.1,TRUE
AP012421.1,TRUE
AP012422.1,TRUE
AP012423.1,TRUE
AP012424.1,FALSE
AP012425.1,TRUE
AP012426.1,TRUE
AP012427.1,TRUE
AP012428.1,TRUE
AP012429.1,TRUE
AP012430.1,TRUE
AP012431.1,TRUE
AY195745.2,TRUE
AY195746.2,TRUE
AY195747.2,TRUE
AY195748.1,TRUE
AY195749.2,FALSE
AY195750.1,TRUE
AY195751.1,TRUE
AY195752.2,TRUE
AY195753.2,TRUE
AY195754.2,TRUE
AY195755.2,TRUE
AY195756.2,TRUE
AY195757.1,TRUE
AY195758.2,TRUE
AY195759.2,TRUE
AY195760.2,TRUE
AY195761.1,TRUE
