chip,A,B,C,D,H,HV,I,J,JT,K,L,M,N,R,T,U,unclassified,V,W,X
HumanHap650Yv3_A-b37,0.143884892086331,1,1,0.21259842519685,0.0489795918367347,1,0,0,0.666666666666667,1,0.664764621968616,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni1-Quad_v1-0_B-b37,0,0.61744966442953,0,0,0.0326530612244898,0,0,0,0,0,0.0641940085592011,0,0,0,0,0.989010989010989,1,0,0,0
HumanOmni1-Quad_v1-0_C-b37,0,0.61744966442953,0,0,0.0326530612244898,0,0,0,0,0,0.0641940085592011,0,0,0,0,0.989010989010989,1,0,0,0
HumanOmni1-Quad_v1-0_H-b37,0,0.61744966442953,0,0,0.0326530612244898,0,0,0,0,0,0.0641940085592011,0,0,0,0,0.989010989010989,1,0,0,0
humanomni1-quad_v1-0-multi_h-b37,0,0.61744966442953,0,0,0.0326530612244898,0,0,0,0,0,0.0641940085592011,0,0,0,0,0.989010989010989,1,0,0,0
HumanOmni1S-8v1_H-b37,0.143884892086331,0.711409395973154,1,0,0.0163265306122449,0,0,0,0.666666666666667,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni2-5-8-v1-0-D-b37,0,0.711409395973154,1,0,0.0163265306122449,0,0,0,1,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni2-5-8-v1-1-C-b37,0,0.711409395973154,1,0,0.0163265306122449,0,0,0,1,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni2-5-8-v1-2-A-b37,0,0.711409395973154,1,0,0.0163265306122449,0,0,0,0.666666666666667,0.205882352941176,0.239657631954351,0,0,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni2-5Exome-8-v1-1-A-b37,0,0.711409395973154,1,0.606299212598425,0.96734693877551,0,0,0,1,1,0.643366619115549,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni2.5-4v1_B-b37,0.143884892086331,0.711409395973154,1,0,0.0163265306122449,0,0,0,0.666666666666667,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni2.5-4v1_D-b37,0.143884892086331,0.711409395973154,1,0,0.0163265306122449,0,0,0,0.666666666666667,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni2.5-4v1_H-b37,0.143884892086331,0.711409395973154,1,0,0.0163265306122449,0,0,0,0.666666666666667,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni2.5-8v1_A-b37,0,0.711409395973154,1,0,0.0163265306122449,0,0,0,1,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni2.5-8v1_C-b37,0,0.711409395973154,1,0,0.0163265306122449,0,0,0,1,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni2.5S-8v1_B-b37,0.143884892086331,0.61744966442953,0,0,0.0326530612244898,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HumanOmni25-8v1-1_A-b37,0,0.711409395973154,1,0,0.0163265306122449,0,0,0,1,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni25-8v1-2_A1-b37,0,0.711409395973154,1,0,0.0163265306122449,0,0,0,0.666666666666667,0.205882352941176,0.239657631954351,0,0,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni25Exome-8v1_A-b37,0,0.711409395973154,1,0.606299212598425,0.96734693877551,0,0,0,1,1,0.643366619115549,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
humanomni25m-8v1-1_b-b37,0,0.711409395973154,1,0,0.0163265306122449,0,0,0,1,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni5-4-v1-0-D-b37,0.143884892086331,1,1,0,0.0489795918367347,0,0,0,1,1,0.25962910128388,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni5-4v1_B-b37,0.143884892086331,1,1,0,0.0489795918367347,0,0,0,1,1,0.25962910128388,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
humanomni5-4v1_c-b37,0.143884892086331,1,1,0,0.0489795918367347,0,0,0,1,1,0.25962910128388,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni5-4v1-1_A-b37,0,0.711409395973154,1,0,0.0489795918367347,0,0,0,0.666666666666667,0.205882352941176,0.25962910128388,0,0,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni5Exome-4v1_A-b37,0.143884892086331,1,1,0.606299212598425,1,0,0,0,1,1,0.664764621968616,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni5Exome-4v1-1_A-b37,0.143884892086331,1,1,0.606299212598425,1,0,0,1,1,1,0.643366619115549,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmni5Exome-4v1-2_A-b37,0,0.711409395973154,1,0.606299212598425,1,0,0,0,0.666666666666667,0.205882352941176,0.62339514978602,0,0,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmniExpressExome-8-v1-0-B-b37,0,0.61744966442953,0.971428571428571,0.598425196850394,0.96734693877551,0,0,1,0.666666666666667,0.794117647058823,0.569186875891583,0,1,0,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmniExpressExome-8-v1-1-C-b37,0,0.61744966442953,0.971428571428571,0.598425196850394,0.96734693877551,1,0,1,0.666666666666667,0.794117647058823,0.569186875891583,0,1,0,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmniExpressExome-8-v1-2-B-b37,0,0.61744966442953,0.971428571428571,0.598425196850394,0.96734693877551,0,0,1,0.666666666666667,0.794117647058823,0.569186875891583,0,1,0,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmniExpressExome-8v1_A-b37,0,0.61744966442953,0.971428571428571,0.598425196850394,0.96734693877551,0,0,1,0.666666666666667,0.794117647058823,0.569186875891583,0,1,0,0.854545454545454,0.994505494505495,0,0,0,0
humanomniexpressexome-8v1-0_a-b37,0,0.61744966442953,0.971428571428571,0.598425196850394,0.96734693877551,0,0,1,0.666666666666667,0.794117647058823,0.569186875891583,0,1,0,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmniExpressExome-8v1-2_A-b37,0,0.61744966442953,0.971428571428571,0.598425196850394,0.96734693877551,0,0,1,0.666666666666667,0.794117647058823,0.569186875891583,0,1,0,0.854545454545454,0.994505494505495,0,0,0,0
HumanOmniZhongHua-8v1_B-b37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
humanomnizhonghua-8v1-1_a-b37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
HumanOmniZhongHua-8v1-2_A-b37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
InfiniumCore-24v1-1_A1-b37,0.143884892086331,0.61744966442953,1,0,0.0326530612244898,0,0,0,0.666666666666667,0.205882352941176,0.0656205420827389,0,0,0.962809917355372,0.854545454545454,0,0,0,0,0
InfiniumCoreExome-24v1-1_A-b37,0.143884892086331,0.61744966442953,1,0.606299212598425,1,0,0,0,0.666666666666667,0.205882352941176,0.62339514978602,0,0,1,0.854545454545454,0.994505494505495,0,0,0,0
InfiniumCoreExome-24v1-2_A1-b37,0.143884892086331,0.906040268456376,1,0.606299212598425,0.0571428571428571,0,0,1,1,1,0.643366619115549,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
InfiniumExome-24v1-1_A1-b37,0,0.61744966442953,0.971428571428571,0.598425196850394,0.0244897959183673,0,0,1,0.666666666666667,0.794117647058823,0.569186875891583,0,1,0,0.854545454545454,0.994505494505495,0,0,0,0
InfiniumOmni2-5-8v1-3_A1-b37,0.143884892086331,0.711409395973154,1,0,0.0163265306122449,0,0,0,1,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
InfiniumOmni2-5Exome-8v1-3_A1-b37,0.143884892086331,0.711409395973154,1,0.606299212598425,0.0244897959183673,0,0,1,1,1,0.643366619115549,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
InfiniumOmni2.5Exome-8v1-2_A-b37,0.143884892086331,0.711409395973154,1,0.606299212598425,0.0244897959183673,0,0,0,0.666666666666667,0.205882352941176,0.62339514978602,0,0,1,0.854545454545454,0.994505494505495,0,0,0,0
InfiniumOmni5-4v1-2_A1-b37,0,1,1,0,0.0489795918367347,0,0,0,1,1,0.25962910128388,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
InfiniumOmni5Exome-4v1-3_A1-b37,0,1,1,0.606299212598425,0.0571428571428571,1,0,1,1,1,0.664764621968616,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
InfiniumOmniExpressExome-8v1-3_A-b37,0,0.61744966442953,0.971428571428571,0.598425196850394,0.0244897959183673,1,0,1,0.666666666666667,0.794117647058823,0.569186875891583,0,1,0,0.854545454545454,0.994505494505495,0,0,0,0
InfiniumOmniExpressExome-8v1-4_A1-b37,0,0.61744966442953,0.971428571428571,0.598425196850394,0.0244897959183673,0,0,1,0.666666666666667,0.794117647058823,0.569186875891583,0,1,0,0.854545454545454,0.994505494505495,0,0,0,0
InfiniumOmniZhongHua-8v1-3_A1-b37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
InfiniumOmniZhongHua-8v1-3_A2-b37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
InfiniumPsychArray-24v1-1_A1-b37,0,0.61744966442953,1,0.606299212598425,0.0571428571428571,0,0,0,0.666666666666667,0.205882352941176,0.62339514978602,0,0,1,0.854545454545454,0.994505494505495,0,0,0,0
InfiniumPsychArray-24v1-2_A1-b37,0.143884892086331,0.906040268456376,1,0.606299212598425,0.0571428571428571,0,0,1,1,1,0.643366619115549,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
InfiniumPsychArray-24v1-2_A2-b37,0.143884892086331,0.906040268456376,1,0.606299212598425,0.0571428571428571,0,0,1,1,1,0.643366619115549,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
Multi-EthnicGlobal_A1-b37,1,0.993288590604027,1,0.606299212598425,0.0571428571428571,1,0,0,1,1,0.997146932952924,0,1,1,0.854545454545454,0.994505494505495,1,0,0,0
NeuroX_15036164_A-b37,0,0.61744966442953,0.971428571428571,0.598425196850394,0.96734693877551,1,0,1,0.666666666666667,0.794117647058823,0.569186875891583,0,1,0,0.854545454545454,0.994505494505495,0,0,0,0
OmniExpressExome-8v1-1_A-b37,0,0.61744966442953,0.971428571428571,0.598425196850394,0.96734693877551,1,0,1,0.666666666666667,0.794117647058823,0.569186875891583,0,1,0,0.854545454545454,0.994505494505495,0,0,0,0
OmniExpressExome-8v1-1_B-b37,0,0.61744966442953,0.971428571428571,0.598425196850394,0.96734693877551,1,0,1,0.666666666666667,0.794117647058823,0.569186875891583,0,1,0,0.854545454545454,0.994505494505495,0,0,0,0
OncoArray-500K_B-b37,0.856115107913669,0.906040268456376,0,0,0,0.967741935483871,0,1,0,1,0.810271041369472,0,0.911111111111111,0.971074380165289,0.854545454545454,0.989010989010989,0,0,0.96,0
OncoArray-500K-C-b37,0.856115107913669,0.906040268456376,0,0,0,0.967741935483871,0,1,0,1,0.810271041369472,0,0.911111111111111,0.971074380165289,0.854545454545454,0.989010989010989,0,0,0.96,0
PsychArray_A-b37,0,0.61744966442953,1,0.606299212598425,0.991836734693878,0,0,0,0.666666666666667,0.205882352941176,0.62339514978602,0,0,1,0.854545454545454,0.994505494505495,0,0,0,0
PsychArray-B-b37,0,0.61744966442953,1,0.606299212598425,0.991836734693878,0,0,0,0.666666666666667,0.205882352941176,0.62339514978602,0,0,1,0.854545454545454,0.994505494505495,0,0,0,0
PsychChip_15048346_B-b37,0.143884892086331,0.906040268456376,1,0.606299212598425,1,0,0,1,1,1,0.643366619115549,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
PsychChip_v1-1_15073391_A1-b37,0.143884892086331,0.906040268456376,1,0.606299212598425,1,0.967741935483871,0,1,1,1,0.643366619115549,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
