array,MCMC,imputed,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
HumanOmniExpress-12v1-1_B-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,1,TRUE,355,72,149,576,498,0.490923441199684,0.867797947908445
humanomniexpressexome-8v1-0_a-b37,1,TRUE,355,72,149,576,498,0.490923441199684,0.870165745856354
HumanOmniExpressExome-8-v1-0-B-b37,1,TRUE,355,72,149,576,498,0.490923441199684,0.869376479873717
HumanOmniExpressExome-8v1-2_A-b37,1,TRUE,359,68,143,570,473,0.490923441199684,0.859116022099447
HumanOmniExpressExome-8-v1-2-B-b37,1,TRUE,359,68,143,570,473,0.490923441199684,0.86069455406472
OmniExpressExome-8v1-1_A-b37,1,TRUE,358,69,142,569,477,0.503157063930545,0.872138910812944
OmniExpressExome-8v1-1_B-b37,1,TRUE,358,69,142,569,478,0.503157063930545,0.872138910812944
HumanOmniExpressExome-8-v1-1-C-b37,1,TRUE,358,69,142,569,478,0.503157063930545,0.872138910812944
InfiniumOmniExpressExome-8v1-3_A-b37,1,TRUE,358,69,142,569,471,0.411996842936069,0.870560378847672
InfiniumOmniExpressExome-8v1-4_A1-b37,1,TRUE,358,69,136,563,461,0.399763220205209,0.887924230465667
HumanOmni25Exome-8v1_A-b37,1,TRUE,296,131,224,651,609,0.5982636148382,0.951460142067877
HumanOmni2-5Exome-8-v1-1-A-b37,1,TRUE,297,130,221,648,604,0.589187056037885,0.947908445146014
InfiniumOmni2.5Exome-8v1-2_A-b37,1,TRUE,312,115,209,636,585,0.471586424625099,0.920678768745067
InfiniumOmni2-5Exome-8v1-3_A1-b37,1,TRUE,298,129,222,649,607,0.524467245461721,0.942383583267561
HumanOmniZhongHua-8v1_B-b37,1,TRUE,389,38,79,506,266,0.0686661404893449,0.669692186266772
humanomnizhonghua-8v1-1_a-b37,1,TRUE,392,35,77,504,213,0.668508287292818,0.783346487766377
HumanOmniZhongHua-8v1-2_A-b37,1,TRUE,398,29,71,498,198,0.668508287292818,0.77861089187056
InfiniumOmniZhongHua-8v1-3_A1-b37,1,TRUE,401,26,73,500,187,0.668508287292818,0.775453827940016
InfiniumOmniZhongHua-8v1-3_A2-b37,1,TRUE,401,26,73,500,187,0.668508287292818,0.775453827940016
Human1Mv1_C-b37,1,TRUE,312,115,39,466,399,0.524072612470402,0.97750591949487
Human1M-Duov3_B-b37,1,TRUE,337,90,31,458,380,0.389108129439621,0.932123125493291
Human1M-Duov3_C-b37,1,TRUE,337,90,31,458,380,0.389108129439621,0.932517758484609
human1m-duov3_h-b37,1,TRUE,337,90,31,458,379,0.389108129439621,0.932517758484609
HumanOmni1-Quad_v1-0_B-b37,1,TRUE,409,18,6,433,205,0.12904498816101,0.521704814522494
HumanOmni1-Quad_v1-0_C-b37,1,TRUE,409,18,6,433,205,0.12904498816101,0.521704814522494
HumanOmni1-Quad_v1-0_H-b37,1,TRUE,409,18,6,433,205,0.12904498816101,0.521704814522494
humanomni1-quad_v1-0-multi_h-b37,1,TRUE,409,18,6,433,205,0.12904498816101,0.521704814522494
HumanOmni1S-8v1_H-b37,1,TRUE,363,64,20,447,350,0.36266771902131,0.906471981057616
Human1-2M-DuoCustom_v1_A-b37,1,TRUE,339,88,33,460,381,0.389108129439621,0.933307024467245
HumanOmni2.5-4v1_B-b37,1,TRUE,363,64,20,447,351,0.36266771902131,0.906077348066298
HumanOmni2.5-4v1_D-b37,1,TRUE,363,64,20,447,350,0.36266771902131,0.906866614048935
HumanOmni2.5-4v1_H-b37,1,TRUE,363,64,20,447,350,0.36266771902131,0.906866614048935
HumanOmni2.5-8v1_A-b37,1,TRUE,324,103,104,531,480,0.355169692186267,0.941199684293607
HumanOmni2-5-8-v1-0-D-b37,1,TRUE,324,103,104,531,480,0.355169692186267,0.941199684293607
HumanOmni25-8v1-1_A-b37,1,TRUE,333,94,98,525,465,0.355169692186267,0.937647987371744
HumanOmni2-5-8-v1-2-A-b37,1,TRUE,355,72,81,508,395,0.326361483820047,0.878058405682715
humanomni25m-8v1-1_b-b37,1,TRUE,333,94,98,525,465,0.355169692186267,0.937647987371744
HumanOmni2.5-8v1_C-b37,1,TRUE,324,103,104,531,480,0.355169692186267,0.941594317284925
HumanOmni2-5-8-v1-1-C-b37,1,TRUE,333,94,98,525,465,0.355169692186267,0.937647987371744
HumanOmni2.5S-8v1_B-b37,1,TRUE,405,22,9,436,244,0.0485398579321231,0.651933701657459
HumanOmni25-8v1-2_A1-b37,1,TRUE,355,72,81,508,396,0.326361483820047,0.877269139700079
InfiniumOmni2-5-8v1-3_A1-b37,1,TRUE,343,84,94,521,451,0.363062352012628,0.928571428571429
HumanOmni5-4v1_B-b37,1,TRUE,310,117,111,538,492,0.389502762430939,0.942383583267561
humanomni5-4v1_c-b37,1,TRUE,310,117,111,538,492,0.389502762430939,0.942383583267561
HumanOmni5-4-v1-0-D-b37,1,TRUE,310,117,111,538,492,0.389502762430939,0.941199684293607
HumanOmni5-4v1-1_A-b37,1,TRUE,338,89,95,522,443,0.335832675611681,0.89147592738753
InfiniumOmni5-4v1-2_A1-b37,1,TRUE,321,106,102,529,477,0.381610102604578,0.930149960536701
HumanOmni5Exome-4v1_A-b37,1,TRUE,274,153,240,667,626,0.623125493291239,0.945935280189424
HumanOmni5Exome-4v1-1_A-b37,1,TRUE,276,151,236,663,625,0.644830307813733,0.954617205998421
HumanOmni5Exome-4v1-2_A-b37,1,TRUE,304,123,219,646,591,0.567087608524073,0.904498816101026
InfiniumOmni5Exome-4v1-3_A1-b37,1,TRUE,280,147,225,652,612,0.554853985793212,0.964483030781373
HumanCytoSNP-12v1-0_D-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCytoSNP-12v2.1-FFPE_G-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2_h-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2-1_h-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2-1_l-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
cytosnp-850k_b-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
CytoSNP-850K_v1-1_iScan_A1-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
humancore-12v1-0_a-b37,1,TRUE,342,85,85,512,453,0.207971586424625,0.857537490134175
HumanCore-12-v1-0-B-b37,1,TRUE,342,85,85,512,453,0.207971586424625,0.856748224151539
humancore-24-v1-0-manifest-file-a-b37,1,TRUE,343,84,85,512,452,0.207971586424625,0.857142857142857
InfiniumCore-24v1-1_A1-b37,1,TRUE,353,74,84,511,442,0.207971586424625,0.855169692186267
Immuno_BeadChip_11419691_B-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
InfiniumImmunoArray-24v2-0_A-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
Multi-EthnicGlobal_A1-b37,1,TRUE,242,185,413,840,804,0.683109707971586,0.976716653512234
HumanExome-12v1_A-b37,1,TRUE,354,73,146,573,487,0.503157063930545,0.869376479873717
HumanExome-12v1-1_A-b37,1,TRUE,358,69,143,570,479,0.503157063930545,0.872138910812944
HumanExome-12v1-2_A-b37,1,TRUE,359,68,143,570,473,0.490923441199684,0.858326756116811
InfiniumExome-24v1-1_A1-b37,1,TRUE,360,67,137,564,459,0.399763220205209,0.887924230465667
HumanCoreExome-12v1-0_B-b37,1,TRUE,282,145,225,652,609,0.651144435674822,0.969613259668508
humancoreexome-12v1-0_c-b37,1,TRUE,282,145,225,652,610,0.651144435674822,0.970402525651144
HumanCoreExome-12-v1-0-D-b37,1,TRUE,282,145,225,652,610,0.651144435674822,0.970402525651144
humancoreexome-12v1-1_a-b37,1,TRUE,287,140,227,654,608,0.63930544593528,0.950276243093923
HumanCoreExome-12v1-1_B-b37,1,TRUE,287,140,227,654,609,0.63930544593528,0.951065509076559
HumanCoreExome-12-v1-1-C-b37,1,TRUE,287,140,227,654,609,0.63930544593528,0.951065509076559
HumanCoreExome-24v1-0_A-b37,1,TRUE,293,134,211,638,588,0.560378847671665,0.89147592738753
InfiniumCoreExome-24v1-1_A-b37,1,TRUE,291,136,215,642,596,0.560378847671665,0.904893449092344
InfiniumCoreExome-24v1-2_A1-b37,1,TRUE,290,137,226,653,612,0.539068666140489,0.941199684293607
Cardio-Metabo_Chip_11395247_A-b37,1,TRUE,327,100,27,454,344,0.616022099447514,0.911602209944751
cardio-metabo_chip_11395247_c-b37,1,TRUE,327,100,27,454,345,0.616022099447514,0.911207576953433
CVDSNP55v1_A-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
PsychArray_A-b37,1,TRUE,306,121,195,622,565,0.552486187845304,0.888713496448303
PsychArray-B-b37,1,TRUE,306,121,195,622,566,0.552486187845304,0.888318863456985
InfiniumPsychArray-24v1-1_A1-b37,1,TRUE,308,119,200,627,574,0.461325966850829,0.876479873717443
InfiniumPsychArray-24v1-2_A1-b37,1,TRUE,293,134,222,649,607,0.539068666140489,0.936069455406472
InfiniumPsychArray-24v1-2_A2-b37,1,TRUE,293,134,222,649,607,0.539068666140489,0.936069455406472
PsychChip_15048346_B-b37,1,TRUE,287,140,227,654,608,0.63930544593528,0.950276243093923
PsychChip_v1-1_15073391_A1-b37,1,TRUE,277,150,232,659,619,0.642067876874507,0.960536700868193
GSAMD-24v1-0_20011747_A1-b37,1,TRUE,370,57,63,490,359,0.362273086029992,0.876085240726125
GSAMD-24v2-0_20024620_A1-b37,1,TRUE,140,287,638,1065,1045,0.867403314917127,0.991318074191002
GSA-24v1-0_A1-b37,1,TRUE,370,57,62,489,358,0.362273086029992,0.876479873717443
GSA-24v1-0_A2-b37,1,TRUE,370,57,62,489,358,0.362273086029992,0.876479873717443
GSA-24v1-0_A6-b37,1,TRUE,370,57,62,489,358,0.362273086029992,0.876479873717443
GSA-24v2-0_A1-b37,1,TRUE,208,219,553,980,949,0.803078137332281,0.986187845303867
GSCA-24v1-0_20010441_A1-b37,1,TRUE,370,57,63,490,359,0.362273086029992,0.875690607734807
OncoArray-500K_B-b37,1,TRUE,376,51,73,500,384,0.589976322020521,0.942383583267561
OncoArray-500K-C-b37,1,TRUE,376,51,73,500,384,0.589976322020521,0.943172849250197
Consortium-OncoArray_15047405_A-b37,1,TRUE,374,53,78,505,392,0.589976322020521,0.943962115232833
NeuroX_15036164_A-b37,1,TRUE,358,69,143,570,478,0.503157063930545,0.871744277821626
Mapping250K_Nsp.na32.annot-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
Mapping250K_Sty.na32.annot-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
GenomeWideSNP_6.na33.annot-b37,1,TRUE,315,112,105,532,464,0.619573796369376,0.962115232833465
