array,MAF,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
InfiniumImmunoArray-24v2-0_A-b37,0.1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Multi-EthnicGlobal_A1-b37,0.1,TRUE,0.899392857142857,242,185,413,840,803,0.683109707971586,0.976716653512234
HumanExome-12v1_A-b37,0.1,TRUE,0.742755671902269,354,73,146,573,487,0.503157063930545,0.868192580899763
HumanExome-12v1-1_A-b37,0.1,TRUE,0.728617543859649,358,69,143,570,477,0.503157063930545,0.872138910812944
HumanExome-12v1-2_A-b37,0.1,TRUE,0.719242105263158,359,68,143,570,472,0.490923441199684,0.863456985003946
InfiniumExome-24v1-1_A1-b37,0.1,TRUE,0.71136524822695,360,67,137,564,457,0.399763220205209,0.888318863456985
HumanCoreExome-12v1-0_B-b37,0.1,TRUE,0.859372699386503,282,145,225,652,611,0.651144435674822,0.969613259668508
humancoreexome-12v1-0_c-b37,0.1,TRUE,0.858886503067485,282,145,225,652,608,0.651144435674822,0.970007892659826
HumanCoreExome-12-v1-0-D-b37,0.1,TRUE,0.858886503067485,282,145,225,652,608,0.651144435674822,0.970007892659826
humancoreexome-12v1-1_a-b37,0.1,TRUE,0.854266055045872,287,140,227,654,608,0.63930544593528,0.949881610102605
HumanCoreExome-12v1-1_B-b37,0.1,TRUE,0.854516819571865,287,140,227,654,609,0.63930544593528,0.949486977111286
HumanCoreExome-12-v1-1-C-b37,0.1,TRUE,0.854139143730887,287,140,227,654,609,0.63930544593528,0.950670876085241
HumanCoreExome-24v1-0_A-b37,0.1,TRUE,0.844721003134796,293,134,211,638,588,0.560378847671665,0.889897395422257
InfiniumCoreExome-24v1-1_A-b37,0.1,TRUE,0.847626168224299,291,136,215,642,597,0.560378847671665,0.911207576953433
InfiniumCoreExome-24v1-2_A1-b37,0.1,TRUE,0.855275650842266,290,137,226,653,611,0.539068666140489,0.940015785319653
Cardio-Metabo_Chip_11395247_A-b37,0.1,TRUE,0.641821585903084,327,100,27,454,345,0.616022099447514,0.911207576953433
cardio-metabo_chip_11395247_c-b37,0.1,TRUE,0.642235682819383,327,100,27,454,345,0.616022099447514,0.911602209944751
CVDSNP55v1_A-b37,0.1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
PsychArray_A-b37,0.1,TRUE,0.823393890675241,306,121,195,622,566,0.552486187845304,0.889108129439621
PsychArray-B-b37,0.1,TRUE,0.823435691318328,306,121,195,622,566,0.552486187845304,0.888713496448303
InfiniumPsychArray-24v1-1_A1-b37,0.1,TRUE,0.825676236044657,308,119,200,627,573,0.461325966850829,0.875690607734807
InfiniumPsychArray-24v1-2_A1-b37,0.1,TRUE,0.848645608628659,293,134,222,649,607,0.539068666140489,0.935674822415154
InfiniumPsychArray-24v1-2_A2-b37,0.1,TRUE,0.84871032357473,293,134,222,649,606,0.539068666140489,0.936858721389108
PsychChip_15048346_B-b37,0.1,TRUE,0.85435626911315,287,140,227,654,609,0.63930544593528,0.949881610102605
PsychChip_v1-1_15073391_A1-b37,0.1,TRUE,0.863899848254932,277,150,232,659,619,0.642067876874507,0.960142067876875
GSAMD-24v1-0_20011747_A1-b37,0.1,TRUE,0.633930612244898,370,57,63,490,359,0.362273086029992,0.876085240726125
GSAMD-24v2-0_20024620_A1-b37,0.1,TRUE,0.957969953051643,140,287,638,1065,1046,0.867403314917127,0.991318074191002
GSA-24v1-0_A1-b37,0.1,TRUE,0.633292433537832,370,57,62,489,358,0.362273086029992,0.876085240726125
GSA-24v1-0_A2-b37,0.1,TRUE,0.632952965235174,370,57,62,489,357,0.362273086029992,0.876874506708761
GSA-24v1-0_A6-b37,0.1,TRUE,0.633061349693252,370,57,62,489,358,0.362273086029992,0.876874506708761
GSA-24v2-0_A1-b37,0.1,TRUE,0.932038775510204,208,219,553,980,949,0.803078137332281,0.986187845303867
GSCA-24v1-0_20010441_A1-b37,0.1,TRUE,0.633704081632653,370,57,63,490,359,0.362273086029992,0.877663772691397
OncoArray-500K_B-b37,0.1,TRUE,0.654074,376,51,73,500,385,0.589976322020521,0.942383583267561
OncoArray-500K-C-b37,0.1,TRUE,0.654316,376,51,73,500,384,0.589976322020521,0.943172849250197
Consortium-OncoArray_15047405_A-b37,0.1,TRUE,0.661380198019802,374,53,78,505,392,0.589976322020521,0.94475138121547
NeuroX_15036164_A-b37,0.1,TRUE,0.728833333333333,358,69,143,570,477,0.503157063930545,0.871744277821626
Mapping250K_Nsp.na32.annot-b37,0.1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Mapping250K_Sty.na32.annot-b37,0.1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
GenomeWideSNP_6.na33.annot-b37,0.1,TRUE,0.76334022556391,315,112,105,532,462,0.619573796369376,0.962115232833465
