array,MAF,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc,MCMC
humanomni1-quad_v1-0-multi_h-b37,NA,TRUE,0.381842956120092,409,18,6,433,206,0.12904498816101,0.523283346487766,1
HumanOmni1S-8v1_H-b37,NA,TRUE,0.658758389261745,363,64,20,447,350,0.36266771902131,0.906866614048935,1
Human1-2M-DuoCustom_v1_A-b37,NA,TRUE,0.715182608695652,339,88,33,460,382,0.389108129439621,0.931728492501973,1
HumanOmni2.5-4v1_B-b37,NA,TRUE,0.658890380313199,363,64,20,447,351,0.36266771902131,0.907261247040253,1
HumanOmni2.5-4v1_D-b37,NA,TRUE,0.659058165548098,363,64,20,447,351,0.36266771902131,0.90568271507498,1
HumanOmni2.5-4v1_H-b37,NA,TRUE,0.659058165548098,363,64,20,447,351,0.36266771902131,0.90568271507498,1
HumanOmni2.5-8v1_A-b37,NA,TRUE,0.787129943502825,324,103,104,531,479,0.355169692186267,0.940805051302289,1
HumanOmni2-5-8-v1-0-D-b37,NA,TRUE,0.787516007532957,324,103,104,531,479,0.355169692186267,0.937647987371744,1
HumanOmni25-8v1-1_A-b37,NA,TRUE,0.772908571428571,333,94,98,525,466,0.355169692186267,0.93843725335438,1
HumanOmni2-5-8-v1-2-A-b37,NA,TRUE,0.676856299212598,355,72,81,508,397,0.326361483820047,0.878847671665351,1
humanomni25m-8v1-1_b-b37,NA,TRUE,0.772948571428571,333,94,98,525,466,0.355169692186267,0.938831886345698,1
HumanOmni2.5-8v1_C-b37,NA,TRUE,0.787416195856874,324,103,104,531,480,0.355169692186267,0.93843725335438,1
HumanOmni2-5-8-v1-1-C-b37,NA,TRUE,0.772948571428571,333,94,98,525,466,0.355169692186267,0.938831886345698,1
HumanOmni2.5S-8v1_B-b37,NA,TRUE,0.449543577981651,405,22,9,436,244,0.0485398579321231,0.639700078926598,1
HumanOmni25-8v1-2_A1-b37,NA,TRUE,0.677332677165354,355,72,81,508,399,0.326361483820047,0.879242304656669,1
InfiniumOmni2-5-8v1-3_A1-b37,NA,TRUE,0.732717850287908,343,84,94,521,451,0.363062352012628,0.930149960536701,1
HumanOmni5-4v1_B-b37,NA,TRUE,0.805934944237918,310,117,111,538,492,0.389502762430939,0.939226519337017,1
humanomni5-4v1_c-b37,NA,TRUE,0.805907063197026,310,117,111,538,492,0.389502762430939,0.940805051302289,1
HumanOmni5-4-v1-0-D-b37,NA,TRUE,0.805342007434944,310,117,111,538,491,0.389502762430939,0.941594317284925,1
HumanOmni5-4v1-1_A-b37,NA,TRUE,0.741814176245211,338,89,95,522,444,0.335832675611681,0.892265193370166,1
InfiniumOmni5-4v1-2_A1-b37,NA,TRUE,0.783691871455577,321,106,102,529,477,0.381610102604578,0.928966061562747,1
HumanOmni5Exome-4v1_A-b37,NA,TRUE,0.867892053973013,274,153,240,667,627,0.623125493291239,0.94672454617206,1
HumanOmni5Exome-4v1-1_A-b37,NA,TRUE,0.869337858220211,276,151,236,663,625,0.644830307813733,0.955406471981058,1
HumanOmni5Exome-4v1-2_A-b37,NA,TRUE,0.832756965944272,304,123,219,646,592,0.567087608524073,0.899763220205209,1
InfiniumOmni5Exome-4v1-3_A1-b37,NA,TRUE,0.857673312883436,280,147,225,652,613,0.554853985793212,0.964877663772691,1
HumanCytoSNP-12v1-0_D-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
HumanCytoSNP-12v2.1-FFPE_G-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
humancytosnp-12v2_h-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
humancytosnp-12v2-1_h-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
humancytosnp-12v2-1_l-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
cytosnp-850k_b-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
CytoSNP-850K_v1-1_iScan_A1-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
humancore-12v1-0_a-b37,NA,TRUE,0.764650390625,342,85,85,512,452,0.207971586424625,0.856353591160221,1
HumanCore-12-v1-0-B-b37,NA,TRUE,0.764650390625,342,85,85,512,452,0.207971586424625,0.856353591160221,1
humancore-24-v1-0-manifest-file-a-b37,NA,TRUE,0.765349609375,343,84,85,512,452,0.207971586424625,0.855564325177585,1
InfiniumCore-24v1-1_A1-b37,NA,TRUE,0.734291585127202,353,74,84,511,442,0.207971586424625,0.856353591160221,1
Immuno_BeadChip_11419691_B-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
InfiniumImmunoArray-24v2-0_A-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
Multi-EthnicGlobal_A1-b37,NA,TRUE,0.900090476190476,242,185,413,840,804,0.683109707971586,0.977111286503552,1
HumanExome-12v1_A-b37,NA,TRUE,0.743322862129145,354,73,146,573,487,0.503157063930545,0.868981846882399,1
HumanExome-12v1-1_A-b37,NA,TRUE,0.7294,358,69,143,570,479,0.503157063930545,0.871349644830308,1
HumanExome-12v1-2_A-b37,NA,TRUE,0.719863157894737,359,68,143,570,473,0.490923441199684,0.861878453038674,1
InfiniumExome-24v1-1_A1-b37,NA,TRUE,0.711969858156028,360,67,137,564,460,0.399763220205209,0.886345698500395,1
HumanCoreExome-12v1-0_B-b37,NA,TRUE,0.859170245398773,282,145,225,652,608,0.651144435674822,0.969613259668508,1
humancoreexome-12v1-0_c-b37,NA,TRUE,0.859170245398773,282,145,225,652,608,0.651144435674822,0.969613259668508,1
HumanCoreExome-12-v1-0-D-b37,NA,TRUE,0.859564417177914,282,145,225,652,612,0.651144435674822,0.970007892659826,1
humancoreexome-12v1-1_a-b37,NA,TRUE,0.855019877675841,287,140,227,654,612,0.63930544593528,0.950670876085241,1
HumanCoreExome-12v1-1_B-b37,NA,TRUE,0.855019877675841,287,140,227,654,612,0.63930544593528,0.950670876085241,1
HumanCoreExome-12-v1-1-C-b37,NA,TRUE,0.854934250764526,287,140,227,654,610,0.63930544593528,0.949881610102605,1
HumanCoreExome-24v1-0_A-b37,NA,TRUE,0.845296238244514,293,134,211,638,588,0.560378847671665,0.890686661404893,1
InfiniumCoreExome-24v1-1_A-b37,NA,TRUE,0.847797507788162,291,136,215,642,596,0.560378847671665,0.904104183109708,1
InfiniumCoreExome-24v1-2_A1-b37,NA,TRUE,0.855937212863706,290,137,226,653,611,0.539068666140489,0.941594317284925,1
Cardio-Metabo_Chip_11395247_A-b37,NA,TRUE,0.642200440528634,327,100,27,454,344,0.616022099447514,0.910418310970797,1
cardio-metabo_chip_11395247_c-b37,NA,TRUE,0.642431718061674,327,100,27,454,345,0.616022099447514,0.911602209944751,1
CVDSNP55v1_A-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
PsychArray_A-b37,NA,TRUE,0.823887459807074,306,121,195,622,566,0.552486187845304,0.884767166535122,1
PsychArray-B-b37,NA,TRUE,0.824054662379421,306,121,195,622,566,0.552486187845304,0.880820836621942,1
InfiniumPsychArray-24v1-1_A1-b37,NA,TRUE,0.826204146730462,308,119,200,627,573,0.461325966850829,0.872533543804262,1
InfiniumPsychArray-24v1-2_A1-b37,NA,TRUE,0.849440677966102,293,134,222,649,608,0.548145224940805,0.945935280189424,1
InfiniumPsychArray-24v1-2_A2-b37,NA,TRUE,0.849440677966102,293,134,222,649,608,0.548145224940805,0.945935280189424,1
PsychChip_15048346_B-b37,NA,TRUE,0.855111620795107,287,140,227,654,610,0.63930544593528,0.94869771112865,1
PsychChip_v1-1_15073391_A1-b37,NA,TRUE,0.864298937784522,277,150,232,659,620,0.642067876874507,0.960931333859511,1
GSAMD-24v1-0_20011747_A1-b37,NA,TRUE,0.634712244897959,370,57,63,490,359,0.362273086029992,0.876479873717443,1
GSAMD-24v2-0_20024620_A1-b37,NA,TRUE,0.958252582159624,140,287,638,1065,1047,0.867403314917127,0.99171270718232,1
GSA-24v1-0_A1-b37,NA,TRUE,0.634347648261759,370,57,62,489,357,0.362273086029992,0.875690607734807,1
GSA-24v1-0_A2-b37,NA,TRUE,0.634347648261759,370,57,62,489,357,0.362273086029992,0.875690607734807,1
GSA-24v1-0_A6-b37,NA,TRUE,0.634347648261759,370,57,62,489,357,0.362273086029992,0.875690607734807,1
GSA-24v2-0_A1-b37,NA,TRUE,0.932171428571429,208,219,553,980,949,0.803078137332281,0.985793212312549,1
GSCA-24v1-0_20010441_A1-b37,NA,TRUE,0.634948979591837,370,57,63,490,359,0.362273086029992,0.875690607734807,1
OncoArray-500K_B-b37,NA,TRUE,0.655106,376,51,73,500,386,0.589976322020521,0.942383583267561,1
OncoArray-500K-C-b37,NA,TRUE,0.655106,376,51,73,500,386,0.589976322020521,0.942383583267561,1
Consortium-OncoArray_15047405_A-b37,NA,TRUE,0.662394059405941,374,53,78,505,392,0.589976322020521,0.944356748224151,1
NeuroX_15036164_A-b37,NA,TRUE,0.729375438596491,358,69,143,570,480,0.503157063930545,0.872138910812944,1
Mapping250K_Nsp.na32.annot-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
Mapping250K_Sty.na32.annot-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
GenomeWideSNP_6.na33.annot-b37,NA,TRUE,0.764453007518797,315,112,105,532,466,0.619573796369376,0.961720599842147,1
