array,MCMC,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
CytoSNP-850K_v1-1_iScan_A1-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humancore-12v1-0_a-b37,10,TRUE,0.764533203125,342,85,85,512,452,0.207971586424625,0.857537490134175
HumanCore-12-v1-0-B-b37,10,TRUE,0.764533203125,342,85,85,512,452,0.207971586424625,0.857537490134175
humancore-24-v1-0-manifest-file-a-b37,10,TRUE,0.76545703125,343,84,85,512,451,0.207971586424625,0.856353591160221
InfiniumCore-24v1-1_A1-b37,10,TRUE,0.734228962818004,353,74,84,511,441,0.207971586424625,0.856748224151539
Immuno_BeadChip_11419691_B-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
InfiniumImmunoArray-24v2-0_A-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Multi-EthnicGlobal_A1-b37,10,TRUE,0.899863095238095,242,185,413,840,803,0.683109707971586,0.977111286503552
HumanExome-12v1_A-b37,10,TRUE,0.743237347294939,354,73,146,573,488,0.503157063930545,0.868192580899763
HumanExome-12v1-1_A-b37,10,TRUE,0.728931578947368,358,69,143,570,478,0.503157063930545,0.87292817679558
HumanExome-12v1-2_A-b37,10,TRUE,0.719071929824561,359,68,143,570,473,0.490923441199684,0.860299921073402
InfiniumExome-24v1-1_A1-b37,10,TRUE,0.711902482269504,360,67,137,564,458,0.399763220205209,0.888318863456985
HumanCoreExome-12v1-0_B-b37,10,TRUE,0.859159509202454,282,145,225,652,610,0.651144435674822,0.970402525651144
humancoreexome-12v1-0_c-b37,10,TRUE,0.859081288343558,282,145,225,652,609,0.651144435674822,0.970007892659826
HumanCoreExome-12-v1-0-D-b37,10,TRUE,0.859217791411043,282,145,225,652,609,0.651144435674822,0.969613259668508
humancoreexome-12v1-1_a-b37,10,TRUE,0.854140672782875,287,140,227,654,608,0.63930544593528,0.950276243093923
HumanCoreExome-12v1-1_B-b37,10,TRUE,0.854036697247706,287,140,227,654,608,0.63930544593528,0.950670876085241
HumanCoreExome-12-v1-1-C-b37,10,TRUE,0.854481651376147,287,140,227,654,609,0.63930544593528,0.950276243093923
HumanCoreExome-24v1-0_A-b37,10,TRUE,0.84498275862069,293,134,211,638,588,0.560378847671665,0.892265193370166
InfiniumCoreExome-24v1-1_A-b37,10,TRUE,0.847828660436137,291,136,215,642,596,0.560378847671665,0.905288082083662
InfiniumCoreExome-24v1-2_A1-b37,10,TRUE,0.855612557427259,290,137,226,653,611,0.539068666140489,0.941199684293607
Cardio-Metabo_Chip_11395247_A-b37,10,TRUE,0.64186563876652,327,100,27,454,344,0.616022099447514,0.911602209944751
cardio-metabo_chip_11395247_c-b37,10,TRUE,0.64186563876652,327,100,27,454,344,0.616022099447514,0.911602209944751
CVDSNP55v1_A-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
PsychArray_A-b37,10,TRUE,0.823745980707395,306,121,195,622,566,0.552486187845304,0.887924230465667
PsychArray-B-b37,10,TRUE,0.823745980707395,306,121,195,622,566,0.552486187845304,0.887924230465667
InfiniumPsychArray-24v1-1_A1-b37,10,TRUE,0.825835725677831,308,119,200,627,573,0.461325966850829,0.877663772691397
InfiniumPsychArray-24v1-2_A1-b37,10,TRUE,0.848653312788906,293,134,222,649,606,0.539068666140489,0.936858721389108
InfiniumPsychArray-24v1-2_A2-b37,10,TRUE,0.848653312788906,293,134,222,649,606,0.539068666140489,0.936858721389108
PsychChip_15048346_B-b37,10,TRUE,0.854339449541284,287,140,227,654,608,0.63930544593528,0.949486977111286
PsychChip_v1-1_15073391_A1-b37,10,TRUE,0.864145675265554,277,150,232,659,620,0.642067876874507,0.960536700868193
GSAMD-24v1-0_20011747_A1-b37,10,TRUE,0.634328571428571,370,57,63,490,359,0.362273086029992,0.877269139700079
GSAMD-24v2-0_20024620_A1-b37,10,TRUE,0.958202816901408,140,287,638,1065,1046,0.867403314917127,0.991318074191002
GSA-24v1-0_A1-b37,10,TRUE,0.633511247443763,370,57,62,489,358,0.362273086029992,0.876874506708761
GSA-24v1-0_A2-b37,10,TRUE,0.633556237218814,370,57,62,489,358,0.362273086029992,0.876874506708761
GSA-24v1-0_A6-b37,10,TRUE,0.633783231083845,370,57,62,489,358,0.362273086029992,0.876874506708761
GSA-24v2-0_A1-b37,10,TRUE,0.932133673469388,208,219,553,980,949,0.803078137332281,0.985793212312549
GSCA-24v1-0_20010441_A1-b37,10,TRUE,0.634304081632653,370,57,63,490,359,0.362273086029992,0.876874506708761
OncoArray-500K_B-b37,10,TRUE,0.654594,376,51,73,500,385,0.589976322020521,0.943172849250197
OncoArray-500K-C-b37,10,TRUE,0.654594,376,51,73,500,385,0.589976322020521,0.943172849250197
Consortium-OncoArray_15047405_A-b37,10,TRUE,0.661893069306931,374,53,78,505,392,0.589976322020521,0.944356748224151
NeuroX_15036164_A-b37,10,TRUE,0.728989473684211,358,69,143,570,478,0.503157063930545,0.87292817679558
Mapping250K_Nsp.na32.annot-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Mapping250K_Sty.na32.annot-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
GenomeWideSNP_6.na33.annot-b37,10,TRUE,0.764152255639098,315,112,105,532,464,0.619573796369376,0.962115232833465
